#Q2	Xb	Zh	Pt	Phi	SigmaB	SigmaOb	Tail1	Taile2	Fact_noex	Fact_ex
2.35246	0.365424	0.22232	0.22628	-142.5	0	0	0	0	0.79281	0.79281
2.35246	0.365424	0.22232	0.22628	-127.5	0	0	0	0	0.792012	0.792012
2.35246	0.365424	0.22232	0.22628	-112.5	0	0	0	0	0.790949	0.790949
2.35246	0.365424	0.22232	0.22628	-97.5	0	0	0	0	0.789789	0.789789
2.35246	0.365424	0.22232	0.22628	-82.5	0	0	0	0	0.788777	0.788777
2.35246	0.365424	0.22232	0.22628	-67.5	0	0	0	0	0.789344	0.789344
2.35246	0.365424	0.22232	0.22628	-52.5	0	0	0	0	0.788779	0.788779
2.35246	0.365424	0.22232	0.22628	-37.5	0	0	0	0	0.788254	0.788254
2.35246	0.365424	0.22232	0.22628	-22.5	0	0	0	0	0.787943	0.787943
2.35246	0.365424	0.22232	0.22628	-7.5	0	0	0	0	0.787799	0.787799
2.35246	0.365424	0.22232	0.22628	7.5	0	0	0	0	0.787799	0.787799
2.35246	0.365424	0.22232	0.22628	22.5	0	0	0	0	0.787943	0.787943
2.35246	0.365424	0.22232	0.22628	37.5	0	0	0	0	0.788254	0.788254
2.35246	0.365424	0.22232	0.22628	52.5	0	0	0	0	0.788779	0.788779
2.35246	0.365424	0.22232	0.22628	67.5	0	0	0	0	0.789344	0.789344
2.35246	0.365424	0.22232	0.22628	82.5	0	0	0	0	0.788777	0.788777
2.35246	0.365424	0.22232	0.22628	97.5	0	0	0	0	0.789789	0.789789
2.35246	0.365424	0.22232	0.22628	112.5	0	0	0	0	0.790949	0.790949
2.35246	0.365424	0.22232	0.22628	127.5	0	0	0	0	0.792012	0.792012
2.35246	0.365424	0.22232	0.22628	142.5	0	0	0	0	0.79281	0.79281
2.35246	0.365424	0.22232	0.22628	157.5	0	0	0	0	0.793347	0.793347
2.35246	0.365424	0.22232	0.22628	172.5	0	0	0	0	0.793543	0.793543
1.24489	0.198196	0.36508	0.352355	-172.5	0	0	0	0	0.929709	0.929709
1.24489	0.198196	0.36508	0.352355	-157.5	0	0	0	0	0.930374	0.930374
1.24489	0.198196	0.36508	0.352355	-142.5	0	0	0	0	0.93119	0.93119
1.24489	0.198196	0.36508	0.352355	-127.5	0	0	0	0	0.933392	0.933392
1.24489	0.198196	0.36508	0.352355	-112.5	0	0	0	0	0.931603	0.931603
1.24489	0.198196	0.36508	0.352355	-97.5	0	0	0	0	0.930462	0.930462
1.24489	0.198196	0.36508	0.352355	-82.5	0	0	0	0	0.929832	0.929832
1.24489	0.198196	0.36508	0.352355	-67.5	0	0	0	0	0.93174	0.93174
1.24489	0.198196	0.36508	0.352355	-52.5	0	0	0	0	0.93253	0.93253
1.24489	0.198196	0.36508	0.352355	-37.5	0	0	0	0	0.932479	0.932479
1.24489	0.198196	0.36508	0.352355	-22.5	0	0	0	0	0.930158	0.930158
1.24489	0.198196	0.36508	0.352355	-7.5	0	0	0	0	0.927508	0.927508
1.24489	0.198196	0.36508	0.352355	7.5	0	0	0	0	0.927508	0.927508
1.24489	0.198196	0.36508	0.352355	22.5	0	0	0	0	0.930158	0.930158
1.24489	0.198196	0.36508	0.352355	37.5	0	0	0	0	0.932479	0.932479
1.24489	0.198196	0.36508	0.352355	52.5	0	0	0	0	0.93253	0.93253
1.24489	0.198196	0.36508	0.352355	67.5	0	0	0	0	0.93174	0.93174
1.24489	0.198196	0.36508	0.352355	82.5	0	0	0	0	0.929832	0.929832
1.24489	0.198196	0.36508	0.352355	97.5	0	0	0	0	0.930462	0.930462
1.24489	0.198196	0.36508	0.352355	112.5	0	0	0	0	0.931603	0.931603
1.24489	0.198196	0.36508	0.352355	127.5	0	0	0	0	0.933392	0.933392
1.24489	0.198196	0.36508	0.352355	142.5	0	0	0	0	0.93119	0.93119
1.24489	0.198196	0.36508	0.352355	157.5	0	0	0	0	0.930374	0.930374
1.24489	0.198196	0.36508	0.352355	172.5	0	0	0	0	0.929709	0.929709
1.7471	0.254692	0.3642	0.363195	-172.5	0	0	0	0	0.919067	0.919067
1.7471	0.254692	0.3642	0.363195	-157.5	0	0	0	0	0.922159	0.922159
1.7471	0.254692	0.3642	0.363195	-142.5	0	0	0	0	0.923916	0.923916
1.7471	0.254692	0.3642	0.363195	-127.5	0	0	0	0	0.925558	0.925558
1.7471	0.254692	0.3642	0.363195	-112.5	0	0	0	0	0.924745	0.924745
1.7471	0.254692	0.3642	0.363195	-97.5	0	0	0	0	0.925727	0.925727
1.7471	0.254692	0.3642	0.363195	-82.5	0	0	0	0	0.923663	0.923663
1.7471	0.254692	0.3642	0.363195	-67.5	0	0	0	0	0.92261	0.92261
1.7471	0.254692	0.3642	0.363195	-52.5	0	0	0	0	0.911944	0.911944
1.7471	0.254692	0.3642	0.363195	-37.5	0	0	0	0	0.902723	0.902723
1.7471	0.254692	0.3642	0.363195	-22.5	0	0	0	0	0.900234	0.900234
1.7471	0.254692	0.3642	0.363195	-7.5	0	0	0	0	0.899766	0.899766
1.7471	0.254692	0.3642	0.363195	7.5	0	0	0	0	0.899766	0.899766
1.7471	0.254692	0.3642	0.363195	22.5	0	0	0	0	0.900234	0.900234
1.7471	0.254692	0.3642	0.363195	37.5	0	0	0	0	0.902723	0.902723
1.7471	0.254692	0.3642	0.363195	52.5	0	0	0	0	0.911944	0.911944
1.7471	0.254692	0.3642	0.363195	67.5	0	0	0	0	0.92261	0.92261
1.7471	0.254692	0.3642	0.363195	82.5	0	0	0	0	0.923663	0.923663
1.7471	0.254692	0.3642	0.363195	97.5	0	0	0	0	0.925727	0.925727
1.7471	0.254692	0.3642	0.363195	112.5	0	0	0	0	0.924745	0.924745
1.7471	0.254692	0.3642	0.363195	127.5	0	0	0	0	0.925558	0.925558
1.7471	0.254692	0.3642	0.363195	142.5	0	0	0	0	0.923916	0.923916
1.7471	0.254692	0.3642	0.363195	157.5	0	0	0	0	0.922159	0.922159
1.7471	0.254692	0.3642	0.363195	172.5	0	0	0	0	0.919067	0.919067
1.44809	0.308099	0.367553	0.273109	-172.5	0	0	0	0	0.863886	0.863886
1.44809	0.308099	0.367553	0.273109	-157.5	0	0	0	0	0.864673	0.864673
1.44809	0.308099	0.367553	0.273109	-142.5	0	0	0	0	0.868809	0.868809
1.44809	0.308099	0.367553	0.273109	-127.5	0	0	0	0	0.868893	0.868893
1.44809	0.308099	0.367553	0.273109	-112.5	0	0	0	0	0.868149	0.868149
1.44809	0.308099	0.367553	0.273109	-97.5	0	0	0	0	0.867944	0.867944
1.44809	0.308099	0.367553	0.273109	-82.5	0	0	0	0	0.867373	0.867373
1.44809	0.308099	0.367553	0.273109	-67.5	0	0	0	0	0.865764	0.865764
1.44809	0.308099	0.367553	0.273109	-52.5	0	0	0	0	0.866692	0.866692
1.44809	0.308099	0.367553	0.273109	-37.5	0	0	0	0	0.866386	0.866386
1.44809	0.308099	0.367553	0.273109	-22.5	0	0	0	0	0.866212	0.866212
1.44809	0.308099	0.367553	0.273109	-7.5	0	0	0	0	0.865804	0.865804
1.44809	0.308099	0.367553	0.273109	7.5	0	0	0	0	0.865804	0.865804
1.44809	0.308099	0.367553	0.273109	22.5	0	0	0	0	0.866212	0.866212
1.44809	0.308099	0.367553	0.273109	37.5	0	0	0	0	0.866386	0.866386
1.44809	0.308099	0.367553	0.273109	52.5	0	0	0	0	0.866692	0.866692
1.44809	0.308099	0.367553	0.273109	67.5	0	0	0	0	0.865764	0.865764
1.44809	0.308099	0.367553	0.273109	82.5	0	0	0	0	0.867373	0.867373
1.44809	0.308099	0.367553	0.273109	97.5	0	0	0	0	0.867944	0.867944
1.44809	0.308099	0.367553	0.273109	112.5	0	0	0	0	0.868149	0.868149
1.44809	0.308099	0.367553	0.273109	127.5	0	0	0	0	0.868893	0.868893
1.44809	0.308099	0.367553	0.273109	142.5	0	0	0	0	0.868809	0.868809
1.44809	0.308099	0.367553	0.273109	157.5	0	0	0	0	0.864673	0.864673
1.44809	0.308099	0.367553	0.273109	172.5	0	0	0	0	0.863886	0.863886
2.31045	0.365264	0.365582	0.327716	-172.5	0	0	0	0	0.788812	0.788812
2.31045	0.365264	0.365582	0.327716	-157.5	0	0	0	0	0.788622	0.788622
2.31045	0.365264	0.365582	0.327716	-142.5	0	0	0	0	0.789223	0.789223
2.31045	0.365264	0.365582	0.327716	-127.5	0	0	0	0	0.788648	0.788648
2.31045	0.365264	0.365582	0.327716	-112.5	0	0	0	0	0.792323	0.792323
2.31045	0.365264	0.365582	0.327716	-97.5	0	0	0	0	0.790806	0.790806
2.31045	0.365264	0.365582	0.327716	-82.5	0	0	0	0	0.790376	0.790376
2.31045	0.365264	0.365582	0.327716	-67.5	0	0	0	0	0.789294	0.789294
2.31045	0.365264	0.365582	0.327716	-52.5	0	0	0	0	0.788116	0.788116
2.31045	0.365264	0.365582	0.327716	-37.5	0	0	0	0	0.787473	0.787473
2.31045	0.365264	0.365582	0.327716	-22.5	0	0	0	0	0.788532	0.788532
2.31045	0.365264	0.365582	0.327716	-7.5	0	0	0	0	0.790862	0.790862
2.31045	0.365264	0.365582	0.327716	7.5	0	0	0	0	0.790862	0.790862
2.31045	0.365264	0.365582	0.327716	22.5	0	0	0	0	0.788532	0.788532
2.31045	0.365264	0.365582	0.327716	37.5	0	0	0	0	0.787473	0.787473
2.31045	0.365264	0.365582	0.327716	52.5	0	0	0	0	0.788116	0.788116
2.31045	0.365264	0.365582	0.327716	67.5	0	0	0	0	0.789294	0.789294
2.31045	0.365264	0.365582	0.327716	82.5	0	0	0	0	0.790376	0.790376
2.31045	0.365264	0.365582	0.327716	97.5	0	0	0	0	0.790806	0.790806
2.31045	0.365264	0.365582	0.327716	112.5	0	0	0	0	0.792323	0.792323
2.31045	0.365264	0.365582	0.327716	127.5	0	0	0	0	0.788648	0.788648
2.31045	0.365264	0.365582	0.327716	142.5	0	0	0	0	0.789223	0.789223
2.31045	0.365264	0.365582	0.327716	157.5	0	0	0	0	0.788622	0.788622
2.31045	0.365264	0.365582	0.327716	172.5	0	0	0	0	0.788812	0.788812
1.24565	0.202867	0.52982	0.438585	-172.5	0	0	0	0	0.909696	0.909696
1.24565	0.202867	0.52982	0.438585	-157.5	0	0	0	0	0.914755	0.914755
1.24565	0.202867	0.52982	0.438585	-142.5	0	0	0	0	0.921876	0.921876
1.24565	0.202867	0.52982	0.438585	-127.5	0	0	0	0	0.936336	0.936336
1.24565	0.202867	0.52982	0.438585	-112.5	0	0	0	0	0.954446	0.954446
1.24565	0.202867	0.52982	0.438585	-97.5	0	0	0	0	0.953723	0.953723
1.24565	0.202867	0.52982	0.438585	-82.5	0	0	0	0	0.95139	0.95139
1.24565	0.202867	0.52982	0.438585	-67.5	0	0	0	0	0.949608	0.949608
1.24565	0.202867	0.52982	0.438585	-52.5	0	0	0	0	0.948106	0.948106
1.24565	0.202867	0.52982	0.438585	-37.5	0	0	0	0	0.946649	0.946649
1.24565	0.202867	0.52982	0.438585	-22.5	0	0	0	0	0.945472	0.945472
1.24565	0.202867	0.52982	0.438585	-7.5	0	0	0	0	0.945187	0.945187
1.24565	0.202867	0.52982	0.438585	7.5	0	0	0	0	0.945187	0.945187
1.24565	0.202867	0.52982	0.438585	22.5	0	0	0	0	0.945472	0.945472
1.24565	0.202867	0.52982	0.438585	37.5	0	0	0	0	0.946649	0.946649
1.24565	0.202867	0.52982	0.438585	52.5	0	0	0	0	0.948106	0.948106
1.24565	0.202867	0.52982	0.438585	67.5	0	0	0	0	0.949608	0.949608
1.24565	0.202867	0.52982	0.438585	82.5	0	0	0	0	0.95139	0.95139
1.24565	0.202867	0.52982	0.438585	97.5	0	0	0	0	0.953723	0.953723
1.24565	0.202867	0.52982	0.438585	112.5	0	0	0	0	0.954446	0.954446
1.24565	0.202867	0.52982	0.438585	127.5	0	0	0	0	0.936336	0.936336
1.24565	0.202867	0.52982	0.438585	142.5	0	0	0	0	0.921876	0.921876
1.24565	0.202867	0.52982	0.438585	157.5	0	0	0	0	0.914755	0.914755
1.24565	0.202867	0.52982	0.438585	172.5	0	0	0	0	0.909696	0.909696
1.73861	0.256517	0.529038	0.448708	-172.5	0	0	0	0	0.909051	0.909051
1.73861	0.256517	0.529038	0.448708	-157.5	0	0	0	0	0.909058	0.909058
1.73861	0.256517	0.529038	0.448708	-142.5	0	0	0	0	0.910366	0.910366
1.73861	0.256517	0.529038	0.448708	-127.5	0	0	0	0	0.925744	0.925744
1.73861	0.256517	0.529038	0.448708	-112.5	0	0	0	0	0.947202	0.947202
1.73861	0.256517	0.529038	0.448708	-97.5	0	0	0	0	0.9445	0.9445
1.73861	0.256517	0.529038	0.448708	-82.5	0	0	0	0	0.943042	0.943042
1.73861	0.256517	0.529038	0.448708	-67.5	0	0	0	0	0.939636	0.939636
1.73861	0.256517	0.529038	0.448708	-52.5	0	0	0	0	0.938433	0.938433
1.73861	0.256517	0.529038	0.448708	-37.5	0	0	0	0	0.935647	0.935647
1.73861	0.256517	0.529038	0.448708	-22.5	0	0	0	0	0.93648	0.93648
1.73861	0.256517	0.529038	0.448708	-7.5	0	0	0	0	0.935512	0.935512
1.73861	0.256517	0.529038	0.448708	7.5	0	0	0	0	0.935512	0.935512
1.73861	0.256517	0.529038	0.448708	22.5	0	0	0	0	0.93648	0.93648
1.73861	0.256517	0.529038	0.448708	37.5	0	0	0	0	0.935647	0.935647
1.73861	0.256517	0.529038	0.448708	52.5	0	0	0	0	0.938433	0.938433
1.73861	0.256517	0.529038	0.448708	67.5	0	0	0	0	0.939636	0.939636
1.73861	0.256517	0.529038	0.448708	82.5	0	0	0	0	0.943042	0.943042
1.73861	0.256517	0.529038	0.448708	97.5	0	0	0	0	0.9445	0.9445
1.73861	0.256517	0.529038	0.448708	112.5	0	0	0	0	0.947202	0.947202
1.73861	0.256517	0.529038	0.448708	127.5	0	0	0	0	0.925744	0.925744
1.73861	0.256517	0.529038	0.448708	142.5	0	0	0	0	0.910366	0.910366
1.73861	0.256517	0.529038	0.448708	157.5	0	0	0	0	0.909058	0.909058
1.73861	0.256517	0.529038	0.448708	172.5	0	0	0	0	0.909051	0.909051
1.44796	0.308244	0.534102	0.36034	-172.5	0	0	0	0	0.874695	0.874695
1.44796	0.308244	0.534102	0.36034	-157.5	0	0	0	0	0.876148	0.876148
1.44796	0.308244	0.534102	0.36034	-142.5	0	0	0	0	0.877389	0.877389
1.44796	0.308244	0.534102	0.36034	-127.5	0	0	0	0	0.878209	0.878209
1.44796	0.308244	0.534102	0.36034	-112.5	0	0	0	0	0.879272	0.879272
1.44796	0.308244	0.534102	0.36034	-97.5	0	0	0	0	0.879361	0.879361
1.44796	0.308244	0.534102	0.36034	-82.5	0	0	0	0	0.878547	0.878547
1.44796	0.308244	0.534102	0.36034	-67.5	0	0	0	0	0.878203	0.878203
1.44796	0.308244	0.534102	0.36034	-52.5	0	0	0	0	0.877237	0.877237
1.44796	0.308244	0.534102	0.36034	-37.5	0	0	0	0	0.875499	0.875499
1.44796	0.308244	0.534102	0.36034	-22.5	0	0	0	0	0.873713	0.873713
1.44796	0.308244	0.534102	0.36034	-7.5	0	0	0	0	0.871675	0.871675
1.44796	0.308244	0.534102	0.36034	7.5	0	0	0	0	0.871675	0.871675
1.44796	0.308244	0.534102	0.36034	22.5	0	0	0	0	0.873713	0.873713
1.44796	0.308244	0.534102	0.36034	37.5	0	0	0	0	0.875499	0.875499
1.44796	0.308244	0.534102	0.36034	52.5	0	0	0	0	0.877237	0.877237
1.44796	0.308244	0.534102	0.36034	67.5	0	0	0	0	0.878203	0.878203
1.44796	0.308244	0.534102	0.36034	82.5	0	0	0	0	0.878547	0.878547
1.44796	0.308244	0.534102	0.36034	97.5	0	0	0	0	0.879361	0.879361
1.44796	0.308244	0.534102	0.36034	112.5	0	0	0	0	0.879272	0.879272
1.44796	0.308244	0.534102	0.36034	127.5	0	0	0	0	0.878209	0.878209
1.44796	0.308244	0.534102	0.36034	142.5	0	0	0	0	0.877389	0.877389
1.44796	0.308244	0.534102	0.36034	157.5	0	0	0	0	0.876148	0.876148
1.44796	0.308244	0.534102	0.36034	172.5	0	0	0	0	0.874695	0.874695
2.28115	0.365074	0.530744	0.408037	-172.5	0	0	0	0	0.771325	0.771325
2.28115	0.365074	0.530744	0.408037	-157.5	0	0	0	0	0.774522	0.774522
2.28115	0.365074	0.530744	0.408037	-142.5	0	0	0	0	0.781842	0.781842
2.28115	0.365074	0.530744	0.408037	-127.5	0	0	0	0	0.791045	0.791045
2.28115	0.365074	0.530744	0.408037	-112.5	0	0	0	0	0.791795	0.791795
2.28115	0.365074	0.530744	0.408037	-97.5	0	0	0	0	0.790156	0.790156
2.28115	0.365074	0.530744	0.408037	-82.5	0	0	0	0	0.793365	0.793365
2.28115	0.365074	0.530744	0.408037	-67.5	0	0	0	0	0.79155	0.79155
2.28115	0.365074	0.530744	0.408037	-52.5	0	0	0	0	0.79107	0.79107
2.28115	0.365074	0.530744	0.408037	-37.5	0	0	0	0	0.790099	0.790099
2.28115	0.365074	0.530744	0.408037	-22.5	0	0	0	0	0.792436	0.792436
2.28115	0.365074	0.530744	0.408037	-7.5	0	0	0	0	0.792342	0.792342
2.28115	0.365074	0.530744	0.408037	7.5	0	0	0	0	0.792342	0.792342
2.28115	0.365074	0.530744	0.408037	22.5	0	0	0	0	0.792436	0.792436
2.28115	0.365074	0.530744	0.408037	37.5	0	0	0	0	0.790099	0.790099
2.28115	0.365074	0.530744	0.408037	52.5	0	0	0	0	0.79107	0.79107
2.28115	0.365074	0.530744	0.408037	67.5	0	0	0	0	0.79155	0.79155
2.28115	0.365074	0.530744	0.408037	82.5	0	0	0	0	0.793365	0.793365
2.28115	0.365074	0.530744	0.408037	97.5	0	0	0	0	0.790156	0.790156
2.28115	0.365074	0.530744	0.408037	112.5	0	0	0	0	0.791795	0.791795
2.28115	0.365074	0.530744	0.408037	127.5	0	0	0	0	0.791045	0.791045
2.28115	0.365074	0.530744	0.408037	142.5	0	0	0	0	0.781842	0.781842
2.28115	0.365074	0.530744	0.408037	157.5	0	0	0	0	0.774522	0.774522
2.28115	0.365074	0.530744	0.408037	172.5	0	0	0	0	0.771325	0.771325
1.24696	0.20811	0.766021	0.529812	-172.5	0	0	0	0	0.875394	0.875394
1.24696	0.20811	0.766021	0.529812	-157.5	0	0	0	0	0.876175	0.876175
1.24696	0.20811	0.766021	0.529812	-142.5	0	0	0	0	0.87635	0.87635
1.24696	0.20811	0.766021	0.529812	-127.5	0	0	0	0	0.877773	0.877773
1.24696	0.20811	0.766021	0.529812	-112.5	0	0	0	0	0.878619	0.878619
