#Q2	Xb	Zh	Pt	Phi	SigmaB	SigmaOb	Tail1	Taile2	Fact_noex	Fact_ex
2.35246	0.365424	0.22232	0.22628	-157.5	0	0	0	0	0.793359	0.793359
2.35246	0.365424	0.22232	0.22628	-142.5	0	0	0	0	0.792812	0.792812
2.35246	0.365424	0.22232	0.22628	-127.5	0	0	0	0	0.791998	0.791998
2.35246	0.365424	0.22232	0.22628	-112.5	0	0	0	0	0.79092	0.79092
2.35246	0.365424	0.22232	0.22628	-97.5	0	0	0	0	0.789747	0.789747
2.35246	0.365424	0.22232	0.22628	-82.5	0	0	0	0	0.788729	0.788729
2.35246	0.365424	0.22232	0.22628	-67.5	0	0	0	0	0.789299	0.789299
2.35246	0.365424	0.22232	0.22628	-52.5	0	0	0	0	0.78875	0.78875
2.35246	0.365424	0.22232	0.22628	-37.5	0	0	0	0	0.788247	0.788247
2.35246	0.365424	0.22232	0.22628	-22.5	0	0	0	0	0.787961	0.787961
2.35246	0.365424	0.22232	0.22628	-7.5	0	0	0	0	0.787833	0.787833
2.35246	0.365424	0.22232	0.22628	7.5	0	0	0	0	0.787833	0.787833
2.35246	0.365424	0.22232	0.22628	22.5	0	0	0	0	0.787961	0.787961
2.35246	0.365424	0.22232	0.22628	37.5	0	0	0	0	0.788247	0.788247
2.35246	0.365424	0.22232	0.22628	52.5	0	0	0	0	0.78875	0.78875
2.35246	0.365424	0.22232	0.22628	67.5	0	0	0	0	0.789299	0.789299
2.35246	0.365424	0.22232	0.22628	82.5	0	0	0	0	0.788729	0.788729
2.35246	0.365424	0.22232	0.22628	97.5	0	0	0	0	0.789747	0.789747
2.35246	0.365424	0.22232	0.22628	112.5	0	0	0	0	0.79092	0.79092
2.35246	0.365424	0.22232	0.22628	127.5	0	0	0	0	0.791998	0.791998
2.35246	0.365424	0.22232	0.22628	142.5	0	0	0	0	0.792812	0.792812
2.35246	0.365424	0.22232	0.22628	157.5	0	0	0	0	0.793359	0.793359
2.35246	0.365424	0.22232	0.22628	172.5	0	0	0	0	0.793559	0.793559
1.24489	0.198196	0.36508	0.352355	-172.5	0	0	0	0	0.929523	0.929523
1.24489	0.198196	0.36508	0.352355	-157.5	0	0	0	0	0.930113	0.930113
1.24489	0.198196	0.36508	0.352355	-142.5	0	0	0	0	0.930912	0.930912
1.24489	0.198196	0.36508	0.352355	-127.5	0	0	0	0	0.933184	0.933184
1.24489	0.198196	0.36508	0.352355	-112.5	0	0	0	0	0.93152	0.93152
1.24489	0.198196	0.36508	0.352355	-97.5	0	0	0	0	0.930495	0.930495
1.24489	0.198196	0.36508	0.352355	-82.5	0	0	0	0	0.929954	0.929954
1.24489	0.198196	0.36508	0.352355	-67.5	0	0	0	0	0.931858	0.931858
1.24489	0.198196	0.36508	0.352355	-52.5	0	0	0	0	0.932546	0.932546
