                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
    5.0140   2.3140  18.2325  0.54451E+03  0.59607E+03  0.81945E-01  0.58251E+03  0.59607E+03  0.81945E-01  0.58251E+03
    5.0140   2.3140  21.0258  0.27287E+03  0.28805E+03  0.34614E-02  0.28286E+03  0.28805E+03  0.34614E-02  0.28286E+03
    5.0140   2.3140  29.1046  0.28462E+02  0.27608E+02  0.12801E-04  0.27023E+02  0.27608E+02  0.12801E-04  0.27023E+02
    5.0140   1.5490  22.3316  0.26077E+03  0.31353E+03  0.38519E+00  0.30020E+03  0.31353E+03  0.38519E+00  0.30020E+03
    5.0140   1.5490  25.7713  0.14144E+03  0.16289E+03  0.33919E-01  0.15740E+03  0.16289E+03  0.33919E-01  0.15740E+03
    5.0140   1.5490  35.7696  0.21633E+02  0.22643E+02  0.91510E-04  0.22149E+02  0.22643E+02  0.91510E-04  0.22149E+02
    5.0140   1.0240  27.5574  0.13650E+03  0.18406E+03  0.83907E+00  0.16923E+03  0.18406E+03  0.83907E+00  0.16923E+03
    5.0140   1.0240  31.8381  0.77345E+02  0.99153E+02  0.10169E+00  0.92644E+02  0.99153E+02  0.10169E+00  0.92644E+02
    5.0140   1.0240  44.3842  0.14341E+02  0.16367E+02  0.18199E-03  0.15630E+02  0.16367E+02  0.18199E-03  0.15630E+02
