                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
    5.0140   2.3140  18.2325  0.86792E+02  0.95249E+02  0.30559E-01  0.92422E+02  0.95249E+02  0.30559E-01  0.92422E+02
    5.0140   2.3140  21.0258  0.44066E+02  0.46625E+02  0.58569E-02  0.45555E+02  0.46625E+02  0.58569E-02  0.45555E+02
    5.0140   2.3140  29.1046  0.52368E+01  0.50728E+01  0.49660E-04  0.49902E+01  0.50728E+01  0.49660E-04  0.49902E+01
    5.0140   1.5490  22.3316  0.42486E+02  0.51086E+02  0.72522E-01  0.48123E+02  0.51086E+02  0.72522E-01  0.48123E+02
    5.0140   1.5490  25.7713  0.23099E+02  0.26597E+02  0.15765E-01  0.25405E+02  0.26597E+02  0.15765E-01  0.25405E+02
    5.0140   1.5490  35.7696  0.36460E+01  0.38312E+01  0.20719E-03  0.37337E+01  0.38312E+01  0.20719E-03  0.37337E+01
    5.0140   1.0240  27.5574  0.22474E+02  0.30601E+02  0.14092E+00  0.27083E+02  0.30601E+02  0.14092E+00  0.27083E+02
    5.0140   1.0240  31.8381  0.12751E+02  0.16400E+02  0.32860E-01  0.14888E+02  0.16400E+02  0.32860E-01  0.14888E+02
    5.0140   1.0240  44.3842  0.24271E+01  0.27686E+01  0.54497E-03  0.26148E+01  0.27686E+01  0.54497E-03  0.26148E+01
