                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
    5.0140   2.3140  18.2325  0.10715E+05  0.11605E+05  0.20721E+00  0.11394E+05  0.11605E+05  0.20721E+00  0.11394E+05
    5.0140   2.3140  21.0258  0.52186E+04  0.54607E+04  0.68521E-02  0.53789E+04  0.54607E+04  0.68521E-02  0.53789E+04
    5.0140   2.3140  29.1046  0.46640E+03  0.45175E+03  0.18379E-07  0.44241E+03  0.45175E+03  0.18379E-07  0.44241E+03
    5.0140   1.5490  22.3316  0.49914E+04  0.59183E+04  0.14073E+01  0.57173E+04  0.59183E+04  0.14073E+01  0.57173E+04
    5.0140   1.5490  25.7713  0.26361E+04  0.30084E+04  0.80429E-01  0.29230E+04  0.30084E+04  0.80429E-01  0.29230E+04
    5.0140   1.5490  35.7696  0.36378E+03  0.37977E+03  0.34149E-05  0.37177E+03  0.37977E+03  0.34149E-05  0.37177E+03
    5.0140   1.0240  27.5574  0.25557E+04  0.33716E+04  0.38053E+01  0.31551E+04  0.33716E+04  0.38053E+01  0.31551E+04
    5.0140   1.0240  31.8381  0.14131E+04  0.17865E+04  0.27820E+00  0.16872E+04  0.17865E+04  0.27820E+00  0.16872E+04
    5.0140   1.0240  44.3842  0.24165E+03  0.27468E+03  0.37855E-04  0.26277E+03  0.27468E+03  0.37855E-04  0.26277E+03
