 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
    5.0140   2.3140  18.2325   0.2299   1.1650  0.86792E+02  0.86786E+02  0.56111E-02  0.95249E+02  0.30559E-01  0.27957E+01  0.92422E+02  0.10000E+01
    5.0140   2.3140  21.0258   0.3049   1.5450  0.44066E+02  0.44062E+02  0.48176E-02  0.46625E+02  0.58569E-02  0.10638E+01  0.45555E+02  0.10000E+01
    5.0140   2.3140  29.1046   0.5783   2.9300  0.52368E+01  0.52334E+01  0.33784E-02  0.50728E+01  0.49660E-04  0.82558E-01  0.49902E+01  0.10000E+01
    5.0140   1.5490  22.3316   0.1792   1.1650  0.42486E+02  0.42485E+02  0.82477E-03  0.51086E+02  0.72522E-01  0.28901E+01  0.48123E+02  0.10000E+01
    5.0140   1.5490  25.7713   0.2376   1.5450  0.23099E+02  0.23098E+02  0.70704E-03  0.26597E+02  0.15765E-01  0.11762E+01  0.25405E+02  0.10000E+01
    5.0140   1.5490  35.7696   0.4506   2.9300  0.36460E+01  0.36456E+01  0.42983E-03  0.38312E+01  0.20719E-03  0.97274E-01  0.37337E+01  0.10000E+01
    5.0140   1.0240  27.5574   0.1556   1.1650  0.22474E+02  0.22473E+02  0.23510E-03  0.30601E+02  0.14092E+00  0.33768E+01  0.27083E+02  0.10000E+01
    5.0140   1.0240  31.8381   0.2063   1.5450  0.12751E+02  0.12751E+02  0.20207E-03  0.16400E+02  0.32860E-01  0.14788E+01  0.14888E+02  0.10000E+01
    5.0140   1.0240  44.3842   0.3913   2.9300  0.24271E+01  0.24270E+01  0.11944E-03  0.27686E+01  0.54497E-03  0.15320E+00  0.26148E+01  0.10000E+01
