 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
    5.0140   2.3140  18.2325   0.2299   1.1650  0.10715E+05  0.10708E+05  0.64435E+01  0.11605E+05  0.20721E+00  0.21062E+03  0.11394E+05  0.10000E+01
    5.0140   2.3140  21.0258   0.3049   1.5450  0.52186E+04  0.52187E+04 -0.18081E+00  0.54607E+04  0.68521E-02  0.81798E+02  0.53789E+04  0.10000E+01
    5.0140   2.3140  29.1046   0.5783   2.9300  0.46640E+03  0.46357E+03  0.28297E+01  0.45175E+03  0.18379E-07  0.93341E+01  0.44241E+03  0.10000E+01
    5.0140   1.5490  22.3316   0.1792   1.1650  0.49914E+04  0.49881E+04  0.33430E+01  0.59183E+04  0.14073E+01  0.19961E+03  0.57173E+04  0.10000E+01
    5.0140   1.5490  25.7713   0.2376   1.5450  0.26361E+04  0.26352E+04  0.93195E+00  0.30084E+04  0.80429E-01  0.85311E+02  0.29230E+04  0.10000E+01
    5.0140   1.5490  35.7696   0.4506   2.9300  0.36378E+03  0.36374E+03  0.41053E-01  0.37977E+03  0.34149E-05  0.79982E+01  0.37177E+03  0.10000E+01
    5.0140   1.0240  27.5574   0.1556   1.1650  0.25557E+04  0.25542E+04  0.15283E+01  0.33716E+04  0.38053E+01  0.21274E+03  0.31551E+04  0.10000E+01
    5.0140   1.0240  31.8381   0.2063   1.5450  0.14131E+04  0.14125E+04  0.57570E+00  0.17865E+04  0.27820E+00  0.98996E+02  0.16872E+04  0.10000E+01
    5.0140   1.0240  44.3842   0.3913   2.9300  0.24165E+03  0.24165E+03 -0.71304E-02  0.27468E+03  0.37855E-04  0.11909E+02  0.26277E+03  0.10000E+01
