 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
    5.0140   2.3140  18.2325   0.2299   1.1650  0.54451E+03  0.54413E+03  0.37833E+00  0.59607E+03  0.81945E-01  0.13479E+02  0.58251E+03  0.10008E+01
    5.0140   2.3140  21.0258   0.3049   1.5450  0.27287E+03  0.27288E+03 -0.10701E-01  0.28805E+03  0.34614E-02  0.51848E+01  0.28286E+03  0.10016E+01
    5.0140   2.3140  29.1046   0.5783   2.9300  0.28462E+02  0.28290E+02  0.17184E+00  0.27608E+02  0.12801E-04  0.58526E+00  0.27023E+02  0.10055E+01
    5.0140   1.5490  22.3316   0.1792   1.1650  0.26077E+03  0.26057E+03  0.19462E+00  0.31353E+03  0.38519E+00  0.12940E+02  0.30020E+03  0.10010E+01
    5.0140   1.5490  25.7713   0.2376   1.5450  0.14144E+03  0.14139E+03  0.54499E-01  0.16289E+03  0.33919E-01  0.54529E+01  0.15740E+03  0.10018E+01
    5.0140   1.5490  35.7696   0.4506   2.9300  0.21633E+02  0.21630E+02  0.24490E-02  0.22643E+02  0.91510E-04  0.49374E+00  0.22149E+02  0.10055E+01
    5.0140   1.0240  27.5574   0.1556   1.1650  0.13650E+03  0.13641E+03  0.88413E-01  0.18406E+03  0.83907E+00  0.13990E+02  0.16923E+03  0.10015E+01
    5.0140   1.0240  31.8381   0.2063   1.5450  0.77345E+02  0.77312E+02  0.33481E-01  0.99153E+02  0.10169E+00  0.64080E+01  0.92644E+02  0.10024E+01
    5.0140   1.0240  44.3842   0.3913   2.9300  0.14341E+02  0.14341E+02 -0.42460E-03  0.16367E+02  0.18199E-03  0.73650E+00  0.15630E+02  0.10067E+01
