                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
    5.0140   2.3140  18.2325  0.26161E+04  0.28516E+04  0.85792E-01  0.27906E+04  0.28516E+04  0.85792E-01  0.27906E+04
    5.0140   2.3140  21.0258  0.12968E+04  0.13637E+04  0.89660E-02  0.13402E+04  0.13637E+04  0.89660E-02  0.13402E+04
    5.0140   2.3140  29.1046  0.12672E+03  0.12288E+03  0.12823E-07  0.12021E+03  0.12288E+03  0.12823E-07  0.12021E+03
    5.0140   1.5490  22.3316  0.12467E+04  0.14908E+04  0.22923E+00  0.14324E+04  0.14908E+04  0.22923E+00  0.14324E+04
    5.0140   1.5490  25.7713  0.67026E+03  0.76908E+03  0.45125E-01  0.74437E+03  0.76908E+03  0.45125E-01  0.74437E+03
    5.0140   1.5490  35.7696  0.98448E+02  0.10292E+03  0.37654E-04  0.10064E+03  0.10292E+03  0.37654E-04  0.10064E+03
    5.0140   1.0240  27.5574  0.65010E+03  0.86840E+03  0.73016E+00  0.80523E+03  0.86840E+03  0.73016E+00  0.80523E+03
    5.0140   1.0240  31.8381  0.36541E+03  0.46613E+03  0.76101E-01  0.43723E+03  0.46613E+03  0.76101E-01  0.43723E+03
    5.0140   1.0240  44.3842  0.65747E+02  0.74934E+02  0.11813E-03  0.71534E+02  0.74934E+02  0.11813E-03  0.71534E+02
