 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
    5.0140   2.3140  18.2325   0.2299   1.1650  0.26161E+04  0.26143E+04  0.18148E+01  0.28516E+04  0.85792E-01  0.60869E+02  0.27906E+04  0.10000E+01
    5.0140   2.3140  21.0258   0.3049   1.5450  0.12968E+04  0.12968E+04 -0.51141E-01  0.13637E+04  0.89660E-02  0.23511E+02  0.13402E+04  0.10000E+01
    5.0140   2.3140  29.1046   0.5783   2.9300  0.12672E+03  0.12591E+03  0.80779E+00  0.12288E+03  0.12823E-07  0.26728E+01  0.12021E+03  0.10000E+01
    5.0140   1.5490  22.3316   0.1792   1.1650  0.12467E+04  0.12458E+04  0.93755E+00  0.14908E+04  0.22923E+00  0.58122E+02  0.14324E+04  0.10000E+01
    5.0140   1.5490  25.7713   0.2376   1.5450  0.67026E+03  0.67000E+03  0.26187E+00  0.76908E+03  0.45125E-01  0.24662E+02  0.74437E+03  0.10000E+01
    5.0140   1.5490  35.7696   0.4506   2.9300  0.98448E+02  0.98436E+02  0.11658E-01  0.10292E+03  0.37654E-04  0.22790E+01  0.10064E+03  0.10000E+01
    5.0140   1.0240  27.5574   0.1556   1.1650  0.65010E+03  0.64968E+03  0.42726E+00  0.86840E+03  0.73016E+00  0.62446E+02  0.80523E+03  0.10000E+01
    5.0140   1.0240  31.8381   0.2063   1.5450  0.36541E+03  0.36525E+03  0.16136E+00  0.46613E+03  0.76101E-01  0.28822E+02  0.43723E+03  0.10000E+01
    5.0140   1.0240  44.3842   0.3913   2.9300  0.65747E+02  0.65749E+02 -0.20283E-02  0.74934E+02  0.11813E-03  0.33997E+01  0.71534E+02  0.10000E+01
