 #***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
    5.0140   2.2740  20.2827   0.2750   1.4140  0.53245E+02  0.53240E+02  0.45194E-02  0.57274E+02  0.10591E-01  0.14487E+01  0.55814E+02  0.10000E+01
    5.0140   2.2740  20.8345   0.2900   1.4911  0.46724E+02  0.46720E+02  0.43680E-02  0.49900E+02  0.77004E-02  0.12047E+01  0.48687E+02  0.10000E+01
    5.0140   2.2740  21.7245   0.3150   1.6196  0.37729E+02  0.37725E+02  0.41654E-02  0.39834E+02  0.45931E-02  0.89443E+00  0.38935E+02  0.10000E+01
    5.0140   2.2740  22.7486   0.3450   1.7739  0.29062E+02  0.29058E+02  0.39119E-02  0.30400E+02  0.25306E-02  0.63770E+00  0.29760E+02  0.10000E+01
    5.0140   2.2740  23.7309   0.3750   1.9281  0.22658E+02  0.22654E+02  0.37035E-02  0.23480E+02  0.14238E-02  0.46352E+00  0.23016E+02  0.10000E+01
    5.0140   2.2740  24.8305   0.4100   2.1081  0.17178E+02  0.17175E+02  0.34455E-02  0.17592E+02  0.75166E-03  0.32635E+00  0.17265E+02  0.10000E+01
    5.0140   2.2740  26.1806   0.4550   2.3395  0.11923E+02  0.11919E+02  0.31916E-02  0.12074E+02  0.34710E-03  0.21291E+00  0.11861E+02  0.10000E+01
    5.0140   2.2740  28.0239   0.5200   2.6737  0.72130E+01  0.72100E+01  0.29858E-02  0.71893E+01  0.11722E-03  0.12096E+00  0.70682E+01  0.10000E+01
    5.0140   2.1240  17.6558   0.1850   1.0033  0.10147E+03  0.10147E+03  0.36334E-02  0.11555E+03  0.83580E-01  0.44003E+01  0.11107E+03  0.10000E+01
    5.0140   2.1240  18.1306   0.1950   1.0575  0.90937E+02  0.90934E+02  0.35600E-02  0.10285E+03  0.63731E-01  0.37336E+01  0.99055E+02  0.10000E+01
    5.0140   2.1240  18.5937   0.2050   1.1118  0.81747E+02  0.81744E+02  0.34678E-02  0.91880E+02  0.49044E-01  0.31948E+01  0.88636E+02  0.10000E+01
    5.0140   2.1240  19.0459   0.2150   1.1660  0.73690E+02  0.73687E+02  0.34044E-02  0.82322E+02  0.38037E-01  0.27414E+01  0.79543E+02  0.10000E+01
    5.0140   2.1240  19.4880   0.2250   1.2202  0.66595E+02  0.66592E+02  0.33049E-02  0.73976E+02  0.29675E-01  0.23661E+01  0.71580E+02  0.10000E+01
    5.0140   2.1240  19.9207   0.2350   1.2745  0.60318E+02  0.60314E+02  0.32407E-02  0.66642E+02  0.23277E-01  0.20497E+01  0.64569E+02  0.10000E+01
    5.0140   2.1240  20.3445   0.2450   1.3287  0.54747E+02  0.54744E+02  0.31487E-02  0.60177E+02  0.18397E-01  0.17820E+01  0.58377E+02  0.10000E+01
    5.0140   2.1240  20.7601   0.2550   1.3829  0.49785E+02  0.49782E+02  0.31276E-02  0.54455E+02  0.14617E-01  0.15573E+01  0.52883E+02  0.10000E+01
    5.0140   2.1240  21.1678   0.2650   1.4371  0.45357E+02  0.45354E+02  0.30418E-02  0.49379E+02  0.11666E-01  0.13634E+01  0.48003E+02  0.10000E+01
    5.0140   2.1240  21.5682   0.2750   1.4914  0.41394E+02  0.41391E+02  0.29825E-02  0.44860E+02  0.93557E-02  0.11974E+01  0.43653E+02  0.10000E+01
    5.0140   2.1240  22.1559   0.2900   1.5727  0.36206E+02  0.36203E+02  0.28463E-02  0.38980E+02  0.67860E-02  0.99391E+00  0.37979E+02  0.10000E+01
    5.0140   2.1240  23.1038   0.3150   1.7083  0.29231E+02  0.29228E+02  0.27035E-02  0.31116E+02  0.40370E-02  0.73516E+00  0.30377E+02  0.10000E+01
    5.0140   2.1240  24.1948   0.3450   1.8710  0.22671E+02  0.22669E+02  0.25445E-02  0.23843E+02  0.22126E-02  0.52193E+00  0.23319E+02  0.10000E+01
    5.0140   2.1240  25.2415   0.3750   2.0337  0.17560E+02  0.17557E+02  0.23893E-02  0.18309E+02  0.12392E-02  0.37724E+00  0.17931E+02  0.10000E+01
    5.0140   2.1240  26.4135   0.4100   2.2235  0.13216E+02  0.13214E+02  0.22328E-02  0.13632E+02  0.65011E-03  0.26350E+00  0.13368E+02  0.10000E+01
    5.0140   2.1240  27.8530   0.4550   2.4676  0.92228E+01  0.92207E+01  0.20873E-02  0.93829E+01  0.29781E-03  0.17001E+00  0.92126E+01  0.10000E+01
    5.0140   2.1240  29.8191   0.5200   2.8201  0.54931E+01  0.54912E+01  0.19242E-02  0.55059E+01  0.99758E-04  0.94875E-01  0.54109E+01  0.10000E+01
    5.0140   1.9990  18.5969   0.1850   1.0467  0.82806E+02  0.82804E+02  0.25798E-02  0.95069E+02  0.76931E-01  0.38373E+01  0.91154E+02  0.10000E+01
    5.0140   1.9990  19.0975   0.1950   1.1033  0.74207E+02  0.74204E+02  0.25267E-02  0.84604E+02  0.58626E-01  0.32612E+01  0.81285E+02  0.10000E+01
    5.0140   1.9990  19.5857   0.2050   1.1598  0.66709E+02  0.66706E+02  0.24637E-02  0.75553E+02  0.45046E-01  0.27812E+01  0.72726E+02  0.10000E+01
    5.0140   1.9990  20.0626   0.2150   1.2164  0.60131E+02  0.60129E+02  0.24077E-02  0.67686E+02  0.34908E-01  0.23918E+01  0.65260E+02  0.10000E+01
    5.0140   1.9990  20.5288   0.2250   1.2730  0.54338E+02  0.54336E+02  0.23751E-02  0.60805E+02  0.27210E-01  0.20638E+01  0.58714E+02  0.10000E+01
    5.0140   1.9990  20.9851   0.2350   1.3296  0.49212E+02  0.49209E+02  0.23235E-02  0.54758E+02  0.21325E-01  0.17846E+01  0.52952E+02  0.10000E+01
    5.0140   1.9990  21.4321   0.2450   1.3862  0.44658E+02  0.44655E+02  0.22573E-02  0.49428E+02  0.16822E-01  0.15518E+01  0.47859E+02  0.10000E+01
    5.0140   1.9990  21.8704   0.2550   1.4427  0.40600E+02  0.40598E+02  0.22047E-02  0.44710E+02  0.13353E-01  0.13545E+01  0.43343E+02  0.10000E+01
    5.0140   1.9990  22.3005   0.2650   1.4993  0.36973E+02  0.36971E+02  0.21585E-02  0.40519E+02  0.10644E-01  0.11850E+01  0.39324E+02  0.10000E+01
    5.0140   1.9990  22.7229   0.2750   1.5559  0.33723E+02  0.33721E+02  0.20980E-02  0.36788E+02  0.85230E-02  0.10406E+01  0.35739E+02  0.10000E+01
    5.0140   1.9990  23.3428   0.2900   1.6407  0.29460E+02  0.29458E+02  0.20454E-02  0.31925E+02  0.61689E-02  0.86249E+00  0.31056E+02  0.10000E+01
    5.0140   1.9990  24.3430   0.3150   1.7822  0.23693E+02  0.23691E+02  0.19247E-02  0.25402E+02  0.36593E-02  0.63581E+00  0.24762E+02  0.10000E+01
    5.0140   1.9990  25.4944   0.3450   1.9519  0.18464E+02  0.18462E+02  0.17933E-02  0.19531E+02  0.19999E-02  0.44979E+00  0.19080E+02  0.10000E+01
    5.0140   1.9990  26.5992   0.3750   2.1217  0.14286E+02  0.14284E+02  0.16916E-02  0.14973E+02  0.11165E-02  0.32403E+00  0.14647E+02  0.10000E+01
    5.0140   1.9990  27.8367   0.4100   2.3197  0.10694E+02  0.10693E+02  0.15781E-02  0.11094E+02  0.58285E-03  0.22483E+00  0.10869E+02  0.10000E+01
    5.0140   1.9990  29.3571   0.4550   2.5743  0.74895E+01  0.74880E+01  0.14608E-02  0.76525E+01  0.26532E-03  0.14420E+00  0.75081E+01  0.10000E+01
    5.0140   1.9990  31.4347   0.5200   2.9420  0.44150E+01  0.44137E+01  0.13466E-02  0.44460E+01  0.88529E-04  0.79140E-01  0.43668E+01  0.10000E+01
    5.0140   1.8940  18.9055   0.1750   1.0246  0.78209E+02  0.78207E+02  0.20158E-02  0.91200E+02  0.95591E-01  0.41003E+01  0.87005E+02  0.10000E+01
    5.0140   1.8940  19.4432   0.1850   1.0831  0.69845E+02  0.69843E+02  0.19502E-02  0.80822E+02  0.72255E-01  0.34616E+01  0.77288E+02  0.10000E+01
    5.0140   1.8940  19.9670   0.1950   1.1417  0.62593E+02  0.62591E+02  0.19336E-02  0.71909E+02  0.55042E-01  0.29373E+01  0.68916E+02  0.10000E+01
    5.0140   1.8940  20.4780   0.2050   1.2002  0.56269E+02  0.56267E+02  0.18867E-02  0.64198E+02  0.42238E-01  0.25050E+01  0.61651E+02  0.10000E+01
    5.0140   1.8940  20.9770   0.2150   1.2588  0.50725E+02  0.50723E+02  0.18228E-02  0.57507E+02  0.32708E-01  0.21553E+01  0.55319E+02  0.10000E+01
    5.0140   1.8940  21.4650   0.2250   1.3173  0.45839E+02  0.45837E+02  0.17853E-02  0.51651E+02  0.25478E-01  0.18565E+01  0.49769E+02  0.10000E+01
    5.0140   1.8940  21.9426   0.2350   1.3759  0.41516E+02  0.41514E+02  0.17422E-02  0.46504E+02  0.19952E-01  0.16015E+01  0.44883E+02  0.10000E+01
    5.0140   1.8940  22.4105   0.2450   1.4344  0.37675E+02  0.37673E+02  0.17067E-02  0.41973E+02  0.15713E-01  0.13967E+01  0.40561E+02  0.10000E+01
    5.0140   1.8940  22.8693   0.2550   1.4930  0.34250E+02  0.34248E+02  0.16544E-02  0.37958E+02  0.12461E-01  0.12171E+01  0.36728E+02  0.10000E+01
    5.0140   1.8940  23.3196   0.2650   1.5515  0.31187E+02  0.31186E+02  0.16176E-02  0.34392E+02  0.99240E-02  0.10657E+01  0.33316E+02  0.10000E+01
    5.0140   1.8940  23.7618   0.2750   1.6101  0.28440E+02  0.28439E+02  0.15940E-02  0.31213E+02  0.79375E-02  0.93566E+00  0.30270E+02  0.10000E+01
    5.0140   1.8940  24.4110   0.2900   1.6979  0.24831E+02  0.24830E+02  0.15298E-02  0.27066E+02  0.57325E-02  0.77191E+00  0.26288E+02  0.10000E+01
    5.0140   1.8940  25.4584   0.3150   1.8443  0.19934E+02  0.19932E+02  0.14473E-02  0.21499E+02  0.33932E-02  0.56974E+00  0.20926E+02  0.10000E+01
    5.0140   1.8940  26.6644   0.3450   2.0199  0.15492E+02  0.15491E+02  0.13372E-02  0.16497E+02  0.18509E-02  0.40277E+00  0.16092E+02  0.10000E+01
    5.0140   1.8940  27.8219   0.3750   2.1955  0.12056E+02  0.12055E+02  0.12662E-02  0.12692E+02  0.10309E-02  0.28886E+00  0.12403E+02  0.10000E+01
    5.0140   1.8940  29.1187   0.4100   2.4005  0.89816E+01  0.89805E+01  0.11799E-02  0.93636E+01  0.53611E-03  0.19957E+00  0.91635E+01  0.10000E+01
    5.0140   1.8940  30.7124   0.4550   2.6639  0.62731E+01  0.62720E+01  0.10885E-02  0.64437E+01  0.24280E-03  0.12728E+00  0.63161E+01  0.10000E+01
    5.0140   1.8940  32.8911   0.5200   3.0445  0.36738E+01  0.36728E+01  0.99909E-03  0.37189E+01  0.80933E-04  0.69158E-01  0.36496E+01  0.10000E+01
    5.0140   1.7940  19.7422   0.1750   1.0574  0.66500E+02  0.66499E+02  0.15552E-02  0.78219E+02  0.90607E-01  0.37485E+01  0.74380E+02  0.10000E+01
    5.0140   1.7940  20.3042   0.1850   1.1179  0.59390E+02  0.59389E+02  0.15302E-02  0.69300E+02  0.68474E-01  0.31601E+01  0.66071E+02  0.10000E+01
    5.0140   1.7940  20.8518   0.1950   1.1783  0.53226E+02  0.53224E+02  0.14753E-02  0.61649E+02  0.52140E-01  0.26879E+01  0.58909E+02  0.10000E+01
    5.0140   1.7940  21.3859   0.2050   1.2387  0.47851E+02  0.47850E+02  0.14441E-02  0.55029E+02  0.39989E-01  0.22904E+01  0.52699E+02  0.10000E+01
    5.0140   1.7940  21.9076   0.2150   1.2991  0.43139E+02  0.43138E+02  0.14017E-02  0.49284E+02  0.30917E-01  0.19698E+01  0.47283E+02  0.10000E+01
    5.0140   1.7940  22.4177   0.2250   1.3596  0.38987E+02  0.38986E+02  0.13716E-02  0.44258E+02  0.24072E-01  0.16970E+01  0.42537E+02  0.10000E+01
