 #***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
    5.0140   2.2740  20.2827   0.2750   1.4140  0.33253E+03  0.33246E+03  0.67703E-01  0.35643E+03  0.11992E-01  0.70228E+01  0.34940E+03  0.10013E+01
    5.0140   2.2740  20.8345   0.2900   1.4911  0.29053E+03  0.29051E+03  0.20106E-01  0.30928E+03  0.62834E-02  0.58381E+01  0.30344E+03  0.10015E+01
    5.0140   2.2740  21.7245   0.3150   1.6196  0.23319E+03  0.23321E+03 -0.18901E-01  0.24561E+03  0.21978E-02  0.43728E+01  0.24123E+03  0.10018E+01
    5.0140   2.2740  22.7486   0.3450   1.7739  0.18025E+03  0.18028E+03 -0.31653E-01  0.18764E+03  0.78122E-03  0.31582E+01  0.18448E+03  0.10021E+01
    5.0140   2.2740  23.7309   0.3750   1.9281  0.14000E+03  0.14003E+03 -0.26127E-01  0.14420E+03  0.42477E-03  0.23213E+01  0.14188E+03  0.10025E+01
    5.0140   2.2740  24.8305   0.4100   2.1081  0.10474E+03  0.10474E+03 -0.72594E-02  0.10665E+03  0.27594E-03  0.16536E+01  0.10499E+03  0.10030E+01
    5.0140   2.2740  26.1806   0.4550   2.3395  0.72494E+02  0.72459E+02  0.35593E-01  0.72819E+02  0.15179E-03  0.11277E+01  0.71691E+02  0.10036E+01
    5.0140   2.2740  28.0239   0.5200   2.6737  0.42737E+02  0.42634E+02  0.10259E+00  0.42156E+02  0.46728E-04  0.72364E+00  0.41432E+02  0.10045E+01
    5.0140   2.1240  17.6558   0.1850   1.0033  0.63151E+03  0.63085E+03  0.65675E+00  0.71893E+03  0.42879E+00  0.20618E+02  0.69788E+03  0.10006E+01
    5.0140   2.1240  18.1306   0.1950   1.0575  0.56601E+03  0.56547E+03  0.53882E+00  0.63994E+03  0.28779E+00  0.17610E+02  0.62204E+03  0.10007E+01
    5.0140   2.1240  18.5937   0.2050   1.1118  0.50891E+03  0.50847E+03  0.43716E+00  0.57163E+03  0.19286E+00  0.15115E+02  0.55632E+03  0.10008E+01
    5.0140   2.1240  19.0459   0.2150   1.1660  0.45887E+03  0.45852E+03  0.35004E+00  0.51220E+03  0.12889E+00  0.13033E+02  0.49904E+03  0.10009E+01
    5.0140   2.1240  19.4880   0.2250   1.2202  0.41481E+03  0.41453E+03  0.27586E+00  0.46024E+03  0.85828E-01  0.11283E+02  0.44887E+03  0.10009E+01
    5.0140   2.1240  19.9207   0.2350   1.2745  0.37581E+03  0.37559E+03  0.21311E+00  0.41458E+03  0.56899E-01  0.98057E+01  0.40471E+03  0.10010E+01
    5.0140   2.1240  20.3445   0.2450   1.3287  0.34116E+03  0.34100E+03  0.16044E+00  0.37427E+03  0.37531E-01  0.85548E+01  0.36568E+03  0.10011E+01
    5.0140   2.1240  20.7601   0.2550   1.3829  0.31024E+03  0.31013E+03  0.11661E+00  0.33855E+03  0.24620E-01  0.74854E+01  0.33104E+03  0.10012E+01
    5.0140   2.1240  21.1678   0.2650   1.4371  0.28258E+03  0.28250E+03  0.80523E-01  0.30679E+03  0.16067E-01  0.65704E+01  0.30020E+03  0.10014E+01
    5.0140   2.1240  21.5682   0.2750   1.4914  0.25774E+03  0.25769E+03  0.51165E-01  0.27845E+03  0.10436E-01  0.57843E+01  0.27265E+03  0.10015E+01
    5.0140   2.1240  22.1559   0.2900   1.5727  0.22503E+03  0.22501E+03  0.17842E-01  0.24140E+03  0.54424E-02  0.48027E+01  0.23659E+03  0.10017E+01
    5.0140   2.1240  23.1038   0.3150   1.7083  0.18037E+03  0.18038E+03 -0.10297E-01  0.19140E+03  0.19001E-02  0.35837E+01  0.18781E+03  0.10020E+01
    5.0140   2.1240  24.1948   0.3450   1.8710  0.13920E+03  0.13922E+03 -0.19503E-01  0.14596E+03  0.68537E-03  0.25756E+01  0.14339E+03  0.10023E+01
    5.0140   2.1240  25.2415   0.3750   2.0337  0.10793E+03  0.10795E+03 -0.16836E-01  0.11195E+03  0.37871E-03  0.18826E+01  0.11007E+03  0.10028E+01
    5.0140   2.1240  26.4135   0.4100   2.2235  0.80563E+02  0.80568E+02 -0.56430E-02  0.82601E+02  0.24527E-03  0.13310E+01  0.81269E+02  0.10032E+01
    5.0140   2.1240  27.8530   0.4550   2.4676  0.55579E+02  0.55558E+02  0.21110E-01  0.56208E+02  0.13247E-03  0.89068E+00  0.55317E+02  0.10038E+01
    5.0140   2.1240  29.8191   0.5200   2.8201  0.32602E+02  0.32537E+02  0.64788E-01  0.32377E+02  0.39573E-04  0.55135E+00  0.31825E+02  0.10051E+01
    5.0140   1.9990  18.5969   0.1850   1.0467  0.51349E+03  0.51301E+03  0.48974E+00  0.58961E+03  0.39429E+00  0.17850E+02  0.57136E+03  0.10007E+01
    5.0140   1.9990  19.0975   0.1950   1.1033  0.46013E+03  0.45972E+03  0.40207E+00  0.52460E+03  0.26398E+00  0.15246E+02  0.50909E+03  0.10008E+01
    5.0140   1.9990  19.5857   0.2050   1.1598  0.41361E+03  0.41329E+03  0.32658E+00  0.46841E+03  0.17645E+00  0.13086E+02  0.45515E+03  0.10009E+01
    5.0140   1.9990  20.0626   0.2150   1.2164  0.37284E+03  0.37258E+03  0.26192E+00  0.41953E+03  0.11759E+00  0.11282E+02  0.40813E+03  0.10010E+01
    5.0140   1.9990  20.5288   0.2250   1.2730  0.33695E+03  0.33674E+03  0.20690E+00  0.37681E+03  0.78086E-01  0.97672E+01  0.36697E+03  0.10011E+01
    5.0140   1.9990  20.9851   0.2350   1.3296  0.30520E+03  0.30504E+03  0.16038E+00  0.33929E+03  0.51615E-01  0.84877E+01  0.33075E+03  0.10012E+01
    5.0140   1.9990  21.4321   0.2450   1.3862  0.27699E+03  0.27687E+03  0.12133E+00  0.30619E+03  0.33943E-01  0.74015E+01  0.29876E+03  0.10013E+01
    5.0140   1.9990  21.8704   0.2550   1.4427  0.25183E+03  0.25174E+03  0.88826E-01  0.27686E+03  0.22199E-01  0.64754E+01  0.27037E+03  0.10014E+01
    5.0140   1.9990  22.3005   0.2650   1.4993  0.22931E+03  0.22925E+03  0.62033E-01  0.25078E+03  0.14442E-01  0.56826E+01  0.24509E+03  0.10015E+01
    5.0140   1.9990  22.7229   0.2750   1.5559  0.20909E+03  0.20905E+03  0.40208E-01  0.22752E+03  0.93544E-02  0.50012E+01  0.22251E+03  0.10016E+01
    5.0140   1.9990  23.3428   0.2900   1.6407  0.18247E+03  0.18246E+03  0.15369E-01  0.19713E+03  0.48619E-02  0.41506E+01  0.19298E+03  0.10018E+01
    5.0140   1.9990  24.3430   0.3150   1.7822  0.14614E+03  0.14614E+03 -0.61262E-02  0.15612E+03  0.16962E-02  0.30895E+01  0.15303E+03  0.10021E+01
    5.0140   1.9990  25.4944   0.3450   1.9519  0.11265E+03  0.11267E+03 -0.13026E-01  0.11890E+03  0.61986E-03  0.22130E+01  0.11668E+03  0.10025E+01
    5.0140   1.9990  26.5992   0.3750   2.1217  0.87244E+02  0.87256E+02 -0.11640E-01  0.91067E+02  0.34675E-03  0.16112E+01  0.89455E+02  0.10030E+01
