 #***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
    5.0140   2.2740  20.2827   0.2750   1.4140  0.15868E+04  0.15865E+04  0.32432E+00  0.16942E+04  0.25767E-01  0.31804E+02  0.16624E+04  0.10000E+01
    5.0140   2.2740  20.8345   0.2900   1.4911  0.13833E+04  0.13832E+04  0.96265E-01  0.14669E+04  0.15370E-01  0.26460E+02  0.14404E+04  0.10000E+01
    5.0140   2.2740  21.7245   0.3150   1.6196  0.11054E+04  0.11055E+04 -0.90302E-01  0.11600E+04  0.56197E-02  0.19849E+02  0.11401E+04  0.10000E+01
    5.0140   2.2740  22.7486   0.3450   1.7739  0.84930E+03  0.84945E+03 -0.15108E+00  0.88109E+03  0.13865E-02  0.14365E+02  0.86673E+03  0.10000E+01
    5.0140   2.2740  23.7309   0.3750   1.9281  0.65528E+03  0.65540E+03 -0.12455E+00  0.67278E+03  0.39357E-03  0.10577E+02  0.66221E+03  0.10000E+01
    5.0140   2.2740  24.8305   0.4100   2.1081  0.48605E+03  0.48608E+03 -0.34552E-01  0.49353E+03  0.19406E-03  0.75269E+01  0.48600E+03  0.10000E+01
    5.0140   2.2740  26.1806   0.4550   2.3395  0.33261E+03  0.33244E+03  0.16913E+00  0.33334E+03  0.74234E-04  0.51371E+01  0.32821E+03  0.10000E+01
    5.0140   2.2740  28.0239   0.5200   2.6737  0.19293E+03  0.19244E+03  0.48510E+00  0.19005E+03  0.21684E-06  0.33026E+01  0.18675E+03  0.10000E+01
    5.0140   2.1240  17.6558   0.1850   1.0033  0.30433E+04  0.30401E+04  0.31571E+01  0.34472E+04  0.24860E+00  0.92771E+02  0.33542E+04  0.10000E+01
    5.0140   2.1240  18.1306   0.1950   1.0575  0.27238E+04  0.27212E+04  0.25892E+01  0.30650E+04  0.17042E+00  0.79314E+02  0.29855E+04  0.10000E+01
    5.0140   2.1240  18.5937   0.2050   1.1118  0.24456E+04  0.24435E+04  0.20999E+01  0.27347E+04  0.12862E+00  0.68140E+02  0.26664E+04  0.10000E+01
    5.0140   2.1240  19.0459   0.2150   1.1660  0.22021E+04  0.22005E+04  0.16809E+01  0.24475E+04  0.10267E+00  0.58802E+02  0.23886E+04  0.10000E+01
    5.0140   2.1240  19.4880   0.2250   1.2202  0.19879E+04  0.19866E+04  0.13242E+01  0.21965E+04  0.83463E-01  0.50949E+02  0.21455E+04  0.10000E+01
    5.0140   2.1240  19.9207   0.2350   1.2745  0.17986E+04  0.17975E+04  0.10226E+01  0.19761E+04  0.67437E-01  0.44312E+02  0.19317E+04  0.10000E+01
    5.0140   2.1240  20.3445   0.2450   1.3287  0.16305E+04  0.16297E+04  0.76963E+00  0.17818E+04  0.53460E-01  0.38688E+02  0.17430E+04  0.10000E+01
    5.0140   2.1240  20.7601   0.2550   1.3829  0.14807E+04  0.14801E+04  0.55918E+00  0.16096E+04  0.41321E-01  0.33876E+02  0.15757E+04  0.10000E+01
    5.0140   2.1240  21.1678   0.2650   1.4371  0.13467E+04  0.13463E+04  0.38599E+00  0.14567E+04  0.31062E-01  0.29757E+02  0.14269E+04  0.10000E+01
    5.0140   2.1240  21.5682   0.2750   1.4914  0.12266E+04  0.12263E+04  0.24518E+00  0.13202E+04  0.22682E-01  0.26210E+02  0.12940E+04  0.10000E+01
    5.0140   2.1240  22.1559   0.2900   1.5727  0.10684E+04  0.10683E+04  0.85453E-01  0.11420E+04  0.13396E-01  0.21787E+02  0.11202E+04  0.10000E+01
    5.0140   2.1240  23.1038   0.3150   1.7083  0.85279E+03  0.85284E+03 -0.49208E-01  0.90177E+03  0.48174E-02  0.16284E+02  0.88548E+03  0.10000E+01
    5.0140   2.1240  24.1948   0.3450   1.8710  0.65420E+03  0.65430E+03 -0.93098E-01  0.68375E+03  0.11741E-02  0.11730E+02  0.67202E+03  0.10000E+01
    5.0140   2.1240  25.2415   0.3750   2.0337  0.50389E+03  0.50397E+03 -0.80278E-01  0.52113E+03  0.34087E-03  0.85908E+01  0.51254E+03  0.10000E+01
    5.0140   2.1240  26.4135   0.4100   2.2235  0.37303E+03  0.37305E+03 -0.26862E-01  0.38147E+03  0.17031E-03  0.60689E+01  0.37540E+03  0.10000E+01
    5.0140   2.1240  27.8530   0.4550   2.4676  0.25451E+03  0.25441E+03  0.10032E+00  0.25686E+03  0.61588E-04  0.40649E+01  0.25280E+03  0.10000E+01
    5.0140   2.1240  29.8191   0.5200   2.8201  0.14697E+03  0.14666E+03  0.30654E+00  0.14578E+03  0.17052E-06  0.25201E+01  0.14326E+03  0.10000E+01
    5.0140   1.9990  18.5969   0.1850   1.0467  0.24696E+04  0.24673E+04  0.23552E+01  0.28212E+04  0.22858E+00  0.80307E+02  0.27407E+04  0.10000E+01
    5.0140   1.9990  19.0975   0.1950   1.1033  0.22097E+04  0.22077E+04  0.19328E+01  0.25076E+04  0.15736E+00  0.68661E+02  0.24388E+04  0.10000E+01
    5.0140   1.9990  19.5857   0.2050   1.1598  0.19835E+04  0.19819E+04  0.15694E+01  0.22364E+04  0.11910E+00  0.58992E+02  0.21773E+04  0.10000E+01
    5.0140   1.9990  20.0626   0.2150   1.2164  0.17855E+04  0.17843E+04  0.12582E+01  0.20007E+04  0.95080E-01  0.50907E+02  0.19497E+04  0.10000E+01
    5.0140   1.9990  20.5288   0.2250   1.2730  0.16114E+04  0.16104E+04  0.99354E+00  0.17948E+04  0.77147E-01  0.44111E+02  0.17506E+04  0.10000E+01
    5.0140   1.9990  20.9851   0.2350   1.3296  0.14575E+04  0.14568E+04  0.76986E+00  0.16141E+04  0.62131E-01  0.38365E+02  0.15756E+04  0.10000E+01
    5.0140   1.9990  21.4321   0.2450   1.3862  0.13210E+04  0.13204E+04  0.58220E+00  0.14547E+04  0.49051E-01  0.33483E+02  0.14212E+04  0.10000E+01
    5.0140   1.9990  21.8704   0.2550   1.4427  0.11993E+04  0.11988E+04  0.42607E+00  0.13136E+04  0.37740E-01  0.29317E+02  0.12843E+04  0.10000E+01
    5.0140   1.9990  22.3005   0.2650   1.4993  0.10905E+04  0.10902E+04  0.29745E+00  0.11883E+04  0.28231E-01  0.25747E+02  0.11625E+04  0.10000E+01
    5.0140   1.9990  22.7229   0.2750   1.5559  0.99282E+03  0.99263E+03  0.19273E+00  0.10765E+04  0.20509E-01  0.22677E+02  0.10538E+04  0.10000E+01
    5.0140   1.9990  23.3428   0.2900   1.6407  0.86439E+03  0.86432E+03  0.73624E-01  0.93062E+03  0.12017E-01  0.18840E+02  0.91177E+03  0.10000E+01
    5.0140   1.9990  24.3430   0.3150   1.7822  0.68935E+03  0.68938E+03 -0.29280E-01  0.73403E+03  0.42641E-02  0.14053E+02  0.71997E+03  0.10000E+01
    5.0140   1.9990  25.4944   0.3450   1.9519  0.52828E+03  0.52834E+03 -0.62191E-01  0.55585E+03  0.10302E-02  0.10089E+02  0.54576E+03  0.10000E+01
    5.0140   1.9990  26.5992   0.3750   2.1217  0.40645E+03  0.40650E+03 -0.55508E-01  0.42309E+03  0.30508E-03  0.73613E+01  0.41573E+03  0.10000E+01
    5.0140   1.9990  27.8367   0.4100   2.3197  0.30042E+03  0.30044E+03 -0.20822E-01  0.30918E+03  0.15357E-03  0.51788E+01  0.30400E+03  0.10000E+01
    5.0140   1.9990  29.3571   0.4550   2.5743  0.20454E+03  0.20447E+03  0.65442E-01  0.20771E+03  0.52952E-04  0.34219E+01  0.20429E+03  0.10000E+01
    5.0140   1.9990  31.4347   0.5200   2.9420  0.11768E+03  0.11747E+03  0.21112E+00  0.11743E+03  0.14088E-06  0.20611E+01  0.11537E+03  0.10000E+01
    5.0140   1.8940  18.9055   0.1750   1.0246  0.23266E+04  0.23244E+04  0.22288E+01  0.26990E+04  0.34726E+00  0.84460E+02  0.26142E+04  0.10000E+01
    5.0140   1.8940  19.4432   0.1850   1.0831  0.20741E+04  0.20722E+04  0.18465E+01  0.23887E+04  0.21387E+00  0.71838E+02  0.23166E+04  0.10000E+01
    5.0140   1.8940  19.9670   0.1950   1.1417  0.18555E+04  0.18540E+04  0.15160E+01  0.21222E+04  0.14777E+00  0.61433E+02  0.20606E+04  0.10000E+01
    5.0140   1.8940  20.4780   0.2050   1.2002  0.16652E+04  0.16640E+04  0.12317E+01  0.18920E+04  0.11207E+00  0.52792E+02  0.18391E+04  0.10000E+01
    5.0140   1.8940  20.9770   0.2150   1.2588  0.14988E+04  0.14978E+04  0.98870E+00  0.16921E+04  0.89473E-01  0.45568E+02  0.16465E+04  0.10000E+01
    5.0140   1.8940  21.4650   0.2250   1.3173  0.13525E+04  0.13517E+04  0.78203E+00  0.15175E+04  0.72473E-01  0.39490E+02  0.14780E+04  0.10000E+01
    5.0140   1.8940  21.9426   0.2350   1.3759  0.12231E+04  0.12225E+04  0.60745E+00  0.13643E+04  0.58206E-01  0.34351E+02  0.13299E+04  0.10000E+01
    5.0140   1.8940  22.4105   0.2450   1.4344  0.11084E+04  0.11079E+04  0.46101E+00  0.12293E+04  0.45796E-01  0.29984E+02  0.11993E+04  0.10000E+01
    5.0140   1.8940  22.8693   0.2550   1.4930  0.10061E+04  0.10058E+04  0.33915E+00  0.11098E+04  0.35103E-01  0.26255E+02  0.10835E+04  0.10000E+01
    5.0140   1.8940  23.3196   0.2650   1.5515  0.91463E+03  0.91439E+03  0.23870E+00  0.10035E+04  0.26151E-01  0.23060E+02  0.98046E+03  0.10000E+01
    5.0140   1.8940  23.7618   0.2750   1.6101  0.83259E+03  0.83244E+03  0.15686E+00  0.90888E+03  0.18919E-01  0.20310E+02  0.88855E+03  0.10000E+01
    5.0140   1.8940  24.4110   0.2900   1.6979  0.72465E+03  0.72459E+03  0.63547E-01  0.78530E+03  0.11012E-01  0.16872E+02  0.76842E+03  0.10000E+01
    5.0140   1.8940  25.4584   0.3150   1.8443  0.57758E+03  0.57760E+03 -0.18681E-01  0.61893E+03  0.38653E-02  0.12565E+02  0.60636E+03  0.10000E+01
    5.0140   1.8940  26.6644   0.3450   2.0199  0.44231E+03  0.44236E+03 -0.44269E-01  0.46825E+03  0.92799E-03  0.90030E+01  0.45924E+03  0.10000E+01
    5.0140   1.8940  27.8219   0.3750   2.1955  0.34002E+03  0.34006E+03 -0.40605E-01  0.35603E+03  0.27951E-03  0.65520E+01  0.34948E+03  0.10000E+01
    5.0140   1.8940  29.1187   0.4100   2.4005  0.25104E+03  0.25106E+03 -0.16451E-01  0.25984E+03  0.14127E-03  0.45966E+01  0.25524E+03  0.10000E+01
    5.0140   1.8940  30.7124   0.4550   2.6639  0.17061E+03  0.17056E+03  0.45927E-01  0.17422E+03  0.46773E-04  0.30080E+01  0.17121E+03  0.10000E+01
    5.0140   1.8940  32.8911   0.5200   3.0445  0.97894E+02  0.97739E+02  0.15523E+00  0.98213E+02  0.12075E-06  0.17719E+01  0.96441E+02  0.10000E+01
    5.0140   1.7940  19.7422   0.1750   1.0574  0.19708E+04  0.19690E+04  0.17711E+01  0.23058E+04  0.32604E+00  0.76564E+02  0.22289E+04  0.10000E+01
    5.0140   1.7940  20.3042   0.1850   1.1179  0.17567E+04  0.17552E+04  0.14673E+01  0.20401E+04  0.20142E+00  0.65149E+02  0.19748E+04  0.10000E+01
    5.0140   1.7940  20.8518   0.1950   1.1783  0.15714E+04  0.15702E+04  0.12049E+01  0.18121E+04  0.13964E+00  0.55726E+02  0.17562E+04  0.10000E+01
    5.0140   1.7940  21.3859   0.2050   1.2387  0.14102E+04  0.14093E+04  0.97956E+00  0.16152E+04  0.10610E+00  0.47904E+02  0.15672E+04  0.10000E+01
    5.0140   1.7940  21.9076   0.2150   1.2991  0.12692E+04  0.12684E+04  0.78699E+00  0.14442E+04  0.84696E-01  0.41361E+02  0.14027E+04  0.10000E+01
    5.0140   1.7940  22.4177   0.2250   1.3596  0.11451E+04  0.11445E+04  0.62338E+00  0.12949E+04  0.68494E-01  0.35856E+02  0.12590E+04  0.10000E+01
    5.0140   1.7940  22.9171   0.2350   1.4200  0.10355E+04  0.10351E+04  0.48519E+00  0.11639E+04  0.54862E-01  0.31198E+02  0.11326E+04  0.10000E+01
    5.0140   1.7940  23.4063   0.2450   1.4804  0.93831E+03  0.93794E+03  0.36933E+00  0.10484E+04  0.43027E-01  0.27239E+02  0.10212E+04  0.10000E+01
    5.0140   1.7940  23.8861   0.2550   1.5408  0.85165E+03  0.85138E+03  0.27289E+00  0.94629E+03  0.32861E-01  0.23857E+02  0.92240E+03  0.10000E+01
    5.0140   1.7940  24.3570   0.2650   1.6012  0.77415E+03  0.77395E+03  0.19338E+00  0.85551E+03  0.24389E-01  0.20957E+02  0.83453E+03  0.10000E+01
    5.0140   1.7940  24.8195   0.2750   1.6617  0.70462E+03  0.70449E+03  0.12855E+00  0.77460E+03  0.17573E-01  0.18460E+02  0.75613E+03  0.10000E+01
    5.0140   1.7940  25.4985   0.2900   1.7523  0.61314E+03  0.61308E+03  0.54509E-01  0.66903E+03  0.10165E-01  0.15336E+02  0.65368E+03  0.10000E+01
    5.0140   1.7940  26.5942   0.3150   1.9034  0.48847E+03  0.48849E+03 -0.11991E-01  0.52691E+03  0.35326E-02  0.11412E+02  0.51549E+03  0.10000E+01
