# ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
    5.0140   2.3540  17.6253   0.2220   1.1081  0.12482E+05  0.12473E+05  0.86724E+01  0.13544E+05  0.31057E+00  0.24901E+03  0.13294E+05  0.10000E+01
    5.0140   2.3540  18.4279   0.2425   1.2105  0.10145E+05  0.10140E+05  0.49531E+01  0.10893E+05  0.12034E+00  0.18781E+03  0.10705E+05  0.10000E+01
    5.0140   2.3540  19.1981   0.2630   1.3128  0.83088E+04  0.83064E+04  0.23976E+01  0.88346E+04  0.47261E-01  0.14367E+03  0.86909E+04  0.10000E+01
    5.0140   2.3540  19.9396   0.2835   1.4151  0.68438E+04  0.68431E+04  0.72902E+00  0.72103E+04  0.18726E-01  0.11135E+03  0.70990E+04  0.10000E+01
    5.0140   2.3540  20.6556   0.3040   1.5174  0.56605E+04  0.56607E+04 -0.20074E+00  0.59128E+04  0.74556E-02  0.87601E+02  0.58252E+04  0.10000E+01
    5.0140   2.3540  21.3486   0.3245   1.6198  0.46952E+04  0.46957E+04 -0.57492E+00  0.48658E+04  0.29738E-02  0.69968E+02  0.47958E+04  0.10000E+01
    5.0140   2.3540  22.0208   0.3450   1.7221  0.39027E+04  0.39034E+04 -0.69139E+00  0.40148E+04  0.11852E-02  0.56380E+02  0.39585E+04  0.10000E+01
    5.0140   2.3540  22.6740   0.3655   1.8244  0.32493E+04  0.32499E+04 -0.62814E+00  0.33196E+04  0.47098E-03  0.45804E+02  0.32738E+04  0.10000E+01
    5.0140   2.3540  23.3099   0.3860   1.9268  0.27083E+04  0.27087E+04 -0.44420E+00  0.27491E+04  0.18625E-03  0.37455E+02  0.27117E+04  0.10000E+01
    5.0140   2.3540  23.9298   0.4065   2.0291  0.22600E+04  0.22602E+04 -0.18373E+00  0.22799E+04  0.73186E-04  0.30807E+02  0.22491E+04  0.10000E+01
    5.0140   2.3540  24.5349   0.4270   2.1314  0.18877E+04  0.18875E+04  0.16830E+00  0.18933E+04  0.28541E-04  0.25670E+02  0.18676E+04  0.10000E+01
    5.0140   2.3540  25.1263   0.4475   2.2337  0.15782E+04  0.15776E+04  0.62303E+00  0.15742E+04  0.11033E-04  0.21799E+02  0.15524E+04  0.10000E+01
    5.0140   2.3540  25.7050   0.4680   2.3361  0.13199E+04  0.13188E+04  0.10852E+01  0.13096E+04  0.42238E-05  0.18751E+02  0.12908E+04  0.10000E+01
    5.0140   2.3540  26.2718   0.4885   2.4384  0.11046E+04  0.11031E+04  0.15381E+01  0.10904E+04  0.16001E-05  0.16328E+02  0.10740E+04  0.10000E+01
    5.0140   2.3540  26.8275   0.5090   2.5407  0.92454E+03  0.92257E+03  0.19704E+01  0.90801E+03  0.59935E-06  0.14390E+02  0.89362E+03  0.10000E+01
    5.0140   2.3540  27.3727   0.5295   2.6430  0.77344E+03  0.77107E+03  0.23744E+01  0.75591E+03  0.22189E-06  0.12836E+02  0.74308E+03  0.10000E+01
    5.0140   2.3540  27.9081   0.5500   2.7454  0.64635E+03  0.64361E+03  0.27453E+01  0.62879E+03  0.81138E-07  0.11575E+02  0.61721E+03  0.10000E+01
    5.0140   2.1940  17.9111   0.2015   1.0663  0.11711E+05  0.11702E+05  0.94835E+01  0.12975E+05  0.71756E+00  0.27036E+03  0.12704E+05  0.10000E+01
    5.0140   2.1940  18.8081   0.2220   1.1748  0.94094E+04  0.94035E+04  0.59574E+01  0.10306E+05  0.27088E+00  0.20055E+03  0.10106E+05  0.10000E+01
    5.0140   2.1940  19.6655   0.2425   1.2833  0.76363E+04  0.76328E+04  0.34466E+01  0.82755E+04  0.10425E+00  0.15119E+03  0.81242E+04  0.10000E+01
    5.0140   2.1940  20.4885   0.2630   1.3918  0.62449E+04  0.62432E+04  0.17185E+01  0.67003E+04  0.40651E-01  0.11557E+03  0.65847E+04  0.10000E+01
    5.0140   2.1940  21.2810   0.2835   1.5002  0.51368E+04  0.51362E+04  0.58455E+00  0.54598E+04  0.15988E-01  0.89458E+02  0.53704E+04  0.10000E+01
    5.0140   2.1940  22.0463   0.3040   1.6087  0.42430E+04  0.42431E+04 -0.72993E-01  0.44706E+04  0.63175E-02  0.70157E+02  0.44004E+04  0.10000E+01
    5.0140   2.1940  22.7871   0.3245   1.7172  0.35153E+04  0.35157E+04 -0.32383E+00  0.36740E+04  0.25003E-02  0.55846E+02  0.36182E+04  0.10000E+01
    5.0140   2.1940  23.5058   0.3450   1.8257  0.29184E+04  0.29188E+04 -0.41216E+00  0.30273E+04  0.98849E-03  0.44836E+02  0.29825E+04  0.10000E+01
    5.0140   2.1940  24.2044   0.3655   1.9342  0.24268E+04  0.24272E+04 -0.38718E+00  0.24997E+04  0.38950E-03  0.36273E+02  0.24635E+04  0.10000E+01
    5.0140   2.1940  24.8844   0.3860   2.0426  0.20204E+04  0.20207E+04 -0.28603E+00  0.20675E+04  0.15272E-03  0.29546E+02  0.20379E+04  0.10000E+01
    5.0140   2.1940  25.5476   0.4065   2.1511  0.16839E+04  0.16840E+04 -0.13630E+00  0.17124E+04  0.59473E-04  0.24173E+02  0.16882E+04  0.10000E+01
    5.0140   2.1940  26.1950   0.4270   2.2596  0.14048E+04  0.14047E+04  0.61355E-01  0.14201E+04  0.22979E-04  0.19965E+02  0.14001E+04  0.10000E+01
    5.0140   2.1940  26.8279   0.4475   2.3681  0.11728E+04  0.11725E+04  0.34477E+00  0.11790E+04  0.87977E-05  0.16787E+02  0.11622E+04  0.10000E+01
    5.0140   2.1940  27.4473   0.4680   2.4766  0.97994E+03  0.97930E+03  0.63448E+00  0.97975E+03  0.33344E-05  0.14277E+02  0.96548E+03  0.10000E+01
    5.0140   2.1940  28.0540   0.4885   2.5851  0.81906E+03  0.81814E+03  0.91956E+00  0.81462E+03  0.12502E-05  0.12280E+02  0.80234E+03  0.10000E+01
    5.0140   2.1940  28.6489   0.5090   2.6935  0.68439E+03  0.68320E+03  0.11926E+01  0.67728E+03  0.46334E-06  0.10684E+02  0.66660E+03  0.10000E+01
    5.0140   2.1940  29.2327   0.5295   2.8020  0.57192E+03  0.57047E+03  0.14485E+01  0.56316E+03  0.16964E-06  0.93970E+01  0.55376E+03  0.10000E+01
    5.0140   2.1940  29.8061   0.5500   2.9105  0.47729E+03  0.47560E+03  0.16841E+01  0.46778E+03  0.61322E-07  0.83614E+01  0.45942E+03  0.10000E+01
    5.0140   2.0540  17.9753   0.1810   1.0054  0.11600E+05  0.11590E+05  0.10281E+02  0.13135E+05  0.17635E+01  0.31345E+03  0.12820E+05  0.10000E+01
    5.0140   2.0540  18.9749   0.2015   1.1192  0.91917E+04  0.91848E+04  0.68304E+01  0.10277E+05  0.64483E+00  0.22813E+03  0.10049E+05  0.10000E+01
    5.0140   2.0540  19.9261   0.2220   1.2331  0.73774E+04  0.73731E+04  0.43098E+01  0.81531E+04  0.24211E+00  0.16930E+03  0.79836E+04  0.10000E+01
    5.0140   2.0540  20.8356   0.2425   1.3470  0.59809E+04  0.59784E+04  0.25162E+01  0.65378E+04  0.92636E-01  0.12761E+03  0.64101E+04  0.10000E+01
    5.0140   2.0540  21.7087   0.2630   1.4608  0.48861E+04  0.48848E+04  0.12810E+01  0.52865E+04  0.35908E-01  0.97523E+02  0.51890E+04  0.10000E+01
    5.0140   2.0540  22.5496   0.2835   1.5747  0.40149E+04  0.40145E+04  0.46790E+00  0.43026E+04  0.14035E-01  0.75436E+02  0.42272E+04  0.10000E+01
    5.0140   2.0540  23.3617   0.3040   1.6886  0.33133E+04  0.33134E+04 -0.20263E-01  0.35191E+04  0.55108E-02  0.59050E+02  0.34601E+04  0.10000E+01
    5.0140   2.0540  24.1480   0.3245   1.8025  0.27425E+04  0.27427E+04 -0.19568E+00  0.28889E+04  0.21667E-02  0.46892E+02  0.28420E+04  0.10000E+01
    5.0140   2.0540  24.9110   0.3450   1.9163  0.22749E+04  0.22751E+04 -0.26232E+00  0.23779E+04  0.85074E-03  0.37546E+02  0.23404E+04  0.10000E+01
    5.0140   2.0540  25.6526   0.3655   2.0302  0.18899E+04  0.18902E+04 -0.25321E+00  0.19614E+04  0.33293E-03  0.30287E+02  0.19311E+04  0.10000E+01
    5.0140   2.0540  26.3748   0.3860   2.1441  0.15720E+04  0.15722E+04 -0.19311E+00  0.16206E+04  0.12959E-03  0.24598E+02  0.15960E+04  0.10000E+01
    5.0140   2.0540  27.0791   0.4065   2.2579  0.13089E+04  0.13090E+04 -0.10043E+00  0.13408E+04  0.50091E-04  0.20054E+02  0.13208E+04  0.10000E+01
    5.0140   2.0540  27.7669   0.4270   2.3718  0.10909E+04  0.10909E+04  0.17652E-01  0.11108E+04  0.19203E-04  0.16464E+02  0.10943E+04  0.10000E+01
    5.0140   2.0540  28.4393   0.4475   2.4857  0.90995E+03  0.90975E+03  0.20709E+00  0.92126E+03  0.72936E-05  0.13733E+02  0.90753E+03  0.10000E+01
    5.0140   2.0540  29.0975   0.4680   2.5995  0.75940E+03  0.75900E+03  0.40169E+00  0.76463E+03  0.27415E-05  0.11572E+02  0.75306E+03  0.10000E+01
    5.0140   2.0540  29.7423   0.4885   2.7134  0.63400E+03  0.63340E+03  0.59383E+00  0.63499E+03  0.10191E-05  0.98542E+01  0.62513E+03  0.10000E+01
