                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
    5.0140   2.3540  23.9298  0.22600E+04  0.22799E+04  0.73186E-04  0.22491E+04  0.22799E+04  0.73186E-04  0.22491E+04
    5.0140   2.3540  24.5349  0.18877E+04  0.18933E+04  0.28541E-04  0.18676E+04  0.18933E+04  0.28541E-04  0.18676E+04
    5.0140   2.3540  25.1263  0.15782E+04  0.15742E+04  0.11033E-04  0.15524E+04  0.15742E+04  0.11033E-04  0.15524E+04
    5.0140   2.3540  25.7050  0.13199E+04  0.13096E+04  0.42238E-05  0.12908E+04  0.13096E+04  0.42238E-05  0.12908E+04
    5.0140   2.3540  26.2718  0.11046E+04  0.10904E+04  0.16001E-05  0.10740E+04  0.10904E+04  0.16001E-05  0.10740E+04
    5.0140   2.3540  26.8275  0.92454E+03  0.90801E+03  0.59935E-06  0.89362E+03  0.90801E+03  0.59935E-06  0.89362E+03
    5.0140   2.3540  27.3727  0.77344E+03  0.75591E+03  0.22189E-06  0.74308E+03  0.75591E+03  0.22189E-06  0.74308E+03
    5.0140   2.3540  27.9081  0.64635E+03  0.62879E+03  0.81138E-07  0.61721E+03  0.62879E+03  0.81138E-07  0.61721E+03
    5.0140   2.1940  17.9111  0.11711E+05  0.12975E+05  0.71756E+00  0.12704E+05  0.12975E+05  0.71756E+00  0.12704E+05
    5.0140   2.1940  18.8081  0.94094E+04  0.10306E+05  0.27088E+00  0.10106E+05  0.10306E+05  0.27088E+00  0.10106E+05
    5.0140   2.1940  19.6655  0.76363E+04  0.82755E+04  0.10425E+00  0.81242E+04  0.82755E+04  0.10425E+00  0.81242E+04
    5.0140   2.1940  20.4885  0.62449E+04  0.67003E+04  0.40651E-01  0.65847E+04  0.67003E+04  0.40651E-01  0.65847E+04
    5.0140   2.1940  21.2810  0.51368E+04  0.54598E+04  0.15988E-01  0.53704E+04  0.54598E+04  0.15988E-01  0.53704E+04
