# ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
    5.0140   2.3540  17.6253   0.2220   1.1081  0.10042E+03  0.10041E+03  0.64177E-02  0.11046E+03  0.38371E-01  0.33072E+01  0.10712E+03  0.10000E+01
    5.0140   2.3540  18.4279   0.2425   1.2105  0.82240E+02  0.82234E+02  0.61415E-02  0.89511E+02  0.23526E-01  0.24771E+01  0.87010E+02  0.10000E+01
    5.0140   2.3540  19.1981   0.2630   1.3128  0.68019E+02  0.68013E+02  0.58429E-02  0.73290E+02  0.14783E-01  0.18851E+01  0.71390E+02  0.10000E+01
    5.0140   2.3540  19.9396   0.2835   1.4151  0.56810E+02  0.56804E+02  0.55757E-02  0.60588E+02  0.94968E-02  0.14582E+01  0.59121E+02  0.10000E+01
    5.0140   2.3540  20.6556   0.3040   1.5174  0.47550E+02  0.47545E+02  0.53270E-02  0.50241E+02  0.61996E-02  0.11383E+01  0.49097E+02  0.10000E+01
    5.0140   2.3540  21.3486   0.3245   1.6198  0.39681E+02  0.39676E+02  0.51622E-02  0.41652E+02  0.40966E-02  0.89982E+00  0.40748E+02  0.10000E+01
    5.0140   2.3540  22.0208   0.3450   1.7221  0.33312E+02  0.33307E+02  0.49500E-02  0.34743E+02  0.27353E-02  0.71685E+00  0.34023E+02  0.10000E+01
    5.0140   2.3540  22.6740   0.3655   1.8244  0.28128E+02  0.28123E+02  0.47437E-02  0.29144E+02  0.18458E-02  0.57750E+00  0.28565E+02  0.10000E+01
    5.0140   2.3540  23.3099   0.3860   1.9268  0.23865E+02  0.23860E+02  0.45938E-02  0.24561E+02  0.12590E-02  0.46780E+00  0.24092E+02  0.10000E+01
    5.0140   2.3540  23.9298   0.4065   2.0291  0.20355E+02  0.20351E+02  0.43960E-02  0.20792E+02  0.86959E-03  0.38214E+00  0.20409E+02  0.10000E+01
    5.0140   2.3540  24.5349   0.4270   2.1314  0.17247E+02  0.17242E+02  0.42220E-02  0.17517E+02  0.60778E-03  0.31390E+00  0.17203E+02  0.10000E+01
    5.0140   2.3540  25.1263   0.4475   2.2337  0.14582E+02  0.14578E+02  0.41359E-02  0.14754E+02  0.42967E-03  0.25989E+00  0.14493E+02  0.10000E+01
    5.0140   2.3540  25.7050   0.4680   2.3361  0.12442E+02  0.12438E+02  0.39795E-02  0.12520E+02  0.30577E-03  0.21617E+00  0.12303E+02  0.10000E+01
    5.0140   2.3540  26.2718   0.4885   2.4384  0.10612E+02  0.10608E+02  0.38830E-02  0.10628E+02  0.21654E-03  0.18093E+00  0.10447E+02  0.10000E+01
    5.0140   2.3540  26.8275   0.5090   2.5407  0.90958E+01  0.90920E+01  0.38295E-02  0.90625E+01  0.15411E-03  0.15240E+00  0.89100E+01  0.10000E+01
    5.0140   2.3540  27.3727   0.5295   2.6430  0.78675E+01  0.78638E+01  0.37626E-02  0.77852E+01  0.11062E-03  0.12915E+00  0.76559E+01  0.10000E+01
    5.0140   2.3540  27.9081   0.5500   2.7454  0.68763E+01  0.68726E+01  0.37562E-02  0.67387E+01  0.80300E-04  0.11005E+00  0.66285E+01  0.10000E+01
    5.0140   2.1940  17.9111   0.2015   1.0663  0.95118E+02  0.95113E+02  0.42221E-02  0.10670E+03  0.56521E-01  0.36514E+01  0.10299E+03  0.10000E+01
    5.0140   2.1940  18.8081   0.2220   1.1748  0.76972E+02  0.76968E+02  0.40438E-02  0.85325E+02  0.33661E-01  0.26856E+01  0.82606E+02  0.10000E+01
    5.0140   2.1940  19.6655   0.2425   1.2833  0.62917E+02  0.62914E+02  0.38675E-02  0.68998E+02  0.20576E-01  0.20086E+01  0.66969E+02  0.10000E+01
    5.0140   2.1940  20.4885   0.2630   1.3918  0.51875E+02  0.51871E+02  0.37242E-02  0.56333E+02  0.12890E-01  0.15242E+01  0.54796E+02  0.10000E+01
    5.0140   2.1940  21.2810   0.2835   1.5002  0.43114E+02  0.43111E+02  0.35713E-02  0.46380E+02  0.82479E-02  0.11696E+01  0.45202E+02  0.10000E+01
    5.0140   2.1940  22.0463   0.3040   1.6087  0.36132E+02  0.36129E+02  0.34001E-02  0.38505E+02  0.53655E-02  0.91460E+00  0.37585E+02  0.10000E+01
    5.0140   2.1940  22.7871   0.3245   1.7172  0.30392E+02  0.30389E+02  0.32414E-02  0.32086E+02  0.35335E-02  0.71801E+00  0.31364E+02  0.10000E+01
    5.0140   2.1940  23.5058   0.3450   1.8257  0.25429E+02  0.25426E+02  0.31212E-02  0.26676E+02  0.23514E-02  0.57127E+00  0.26102E+02  0.10000E+01
    5.0140   2.1940  24.2044   0.3655   1.9342  0.21372E+02  0.21369E+02  0.29843E-02  0.22286E+02  0.15811E-02  0.45804E+00  0.21826E+02  0.10000E+01
    5.0140   2.1940  24.8844   0.3860   2.0426  0.18062E+02  0.18059E+02  0.28461E-02  0.18715E+02  0.10750E-02  0.36972E+00  0.18344E+02  0.10000E+01
    5.0140   2.1940  25.5476   0.4065   2.1511  0.15334E+02  0.15331E+02  0.27414E-02  0.15784E+02  0.73924E-03  0.30063E+00  0.15483E+02  0.10000E+01
    5.0140   2.1940  26.1950   0.4270   2.2596  0.13081E+02  0.13078E+02  0.26629E-02  0.13364E+02  0.51464E-03  0.24576E+00  0.13117E+02  0.10000E+01
    5.0140   2.1940  26.8279   0.4475   2.3681  0.11054E+02  0.11052E+02  0.25670E-02  0.11237E+02  0.36232E-03  0.20204E+00  0.11034E+02  0.10000E+01
    5.0140   2.1940  27.4473   0.4680   2.4766  0.93403E+01  0.93378E+01  0.24794E-02  0.94580E+01  0.25670E-03  0.16712E+00  0.92906E+01  0.10000E+01
    5.0140   2.1940  28.0540   0.4885   2.5851  0.79601E+01  0.79577E+01  0.24294E-02  0.80173E+01  0.18125E-03  0.13900E+00  0.78781E+01  0.10000E+01
    5.0140   2.1940  28.6489   0.5090   2.6935  0.67824E+01  0.67800E+01  0.23725E-02  0.67975E+01  0.12856E-03  0.11640E+00  0.66809E+01  0.10000E+01
    5.0140   2.1940  29.2327   0.5295   2.8020  0.57921E+01  0.57897E+01  0.23612E-02  0.57777E+01  0.91991E-04  0.97773E-01  0.56798E+01  0.10000E+01
    5.0140   2.1940  29.8061   0.5500   2.9105  0.49986E+01  0.49963E+01  0.23280E-02  0.49521E+01  0.66538E-04  0.82822E-01  0.48692E+01  0.10000E+01
    5.0140   2.0540  17.9753   0.1810   1.0054  0.94692E+02  0.94689E+02  0.30127E-02  0.10862E+03  0.89041E-01  0.43523E+01  0.10418E+03  0.10000E+01
    5.0140   2.0540  18.9749   0.2015   1.1192  0.75686E+02  0.75683E+02  0.28666E-02  0.85610E+02  0.51141E-01  0.31154E+01  0.82443E+02  0.10000E+01
