                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
    5.0140   2.3540  23.9298  0.20355E+02  0.20792E+02  0.86959E-03  0.20409E+02  0.20792E+02  0.86959E-03  0.20409E+02
    5.0140   2.3540  24.5349  0.17247E+02  0.17517E+02  0.60778E-03  0.17203E+02  0.17517E+02  0.60778E-03  0.17203E+02
    5.0140   2.3540  25.1263  0.14582E+02  0.14754E+02  0.42967E-03  0.14493E+02  0.14754E+02  0.42967E-03  0.14493E+02
    5.0140   2.3540  25.7050  0.12442E+02  0.12520E+02  0.30577E-03  0.12303E+02  0.12520E+02  0.30577E-03  0.12303E+02
    5.0140   2.3540  26.2718  0.10612E+02  0.10628E+02  0.21654E-03  0.10447E+02  0.10628E+02  0.21654E-03  0.10447E+02
    5.0140   2.3540  26.8275  0.90958E+01  0.90625E+01  0.15411E-03  0.89100E+01  0.90625E+01  0.15411E-03  0.89100E+01
    5.0140   2.3540  27.3727  0.78675E+01  0.77852E+01  0.11062E-03  0.76559E+01  0.77852E+01  0.11062E-03  0.76559E+01
    5.0140   2.3540  27.9081  0.68763E+01  0.67387E+01  0.80300E-04  0.66285E+01  0.67387E+01  0.80300E-04  0.66285E+01
    5.0140   2.1940  17.9111  0.95118E+02  0.10670E+03  0.56521E-01  0.10299E+03  0.10670E+03  0.56521E-01  0.10299E+03
    5.0140   2.1940  18.8081  0.76972E+02  0.85325E+02  0.33661E-01  0.82606E+02  0.85325E+02  0.33661E-01  0.82606E+02
    5.0140   2.1940  19.6655  0.62917E+02  0.68998E+02  0.20576E-01  0.66969E+02  0.68998E+02  0.20576E-01  0.66969E+02
    5.0140   2.1940  20.4885  0.51875E+02  0.56333E+02  0.12890E-01  0.54796E+02  0.56333E+02  0.12890E-01  0.54796E+02
    5.0140   2.1940  21.2810  0.43114E+02  0.46380E+02  0.82479E-02  0.45202E+02  0.46380E+02  0.82479E-02  0.45202E+02
    5.0140   2.1940  22.0463  0.36132E+02  0.38505E+02  0.53655E-02  0.37585E+02  0.38505E+02  0.53655E-02  0.37585E+02
    5.0140   2.1940  22.7871  0.30392E+02  0.32086E+02  0.35335E-02  0.31364E+02  0.32086E+02  0.35335E-02  0.31364E+02
    5.0140   2.1940  23.5058  0.25429E+02  0.26676E+02  0.23514E-02  0.26102E+02  0.26676E+02  0.23514E-02  0.26102E+02
    5.0140   2.1940  24.2044  0.21372E+02  0.22286E+02  0.15811E-02  0.21826E+02  0.22286E+02  0.15811E-02  0.21826E+02
    5.0140   2.1940  24.8844  0.18062E+02  0.18715E+02  0.10750E-02  0.18344E+02  0.18715E+02  0.10750E-02  0.18344E+02
    5.0140   2.1940  25.5476  0.15334E+02  0.15784E+02  0.73924E-03  0.15483E+02  0.15784E+02  0.73924E-03  0.15483E+02
    5.0140   2.1940  26.1950  0.13081E+02  0.13364E+02  0.51464E-03  0.13117E+02  0.13364E+02  0.51464E-03  0.13117E+02
    5.0140   2.1940  26.8279  0.11054E+02  0.11237E+02  0.36232E-03  0.11034E+02  0.11237E+02  0.36232E-03  0.11034E+02
    5.0140   2.1940  27.4473  0.93403E+01  0.94580E+01  0.25670E-03  0.92906E+01  0.94580E+01  0.25670E-03  0.92906E+01
    5.0140   2.1940  28.0540  0.79601E+01  0.80173E+01  0.18125E-03  0.78781E+01  0.80173E+01  0.18125E-03  0.78781E+01
    5.0140   2.1940  28.6489  0.67824E+01  0.67975E+01  0.12856E-03  0.66809E+01  0.67975E+01  0.12856E-03  0.66809E+01
    5.0140   2.1940  29.2327  0.57921E+01  0.57777E+01  0.91991E-04  0.56798E+01  0.57777E+01  0.91991E-04  0.56798E+01
    5.0140   2.1940  29.8061  0.49986E+01  0.49521E+01  0.66538E-04  0.48692E+01  0.49521E+01  0.66538E-04  0.48692E+01
    5.0140   2.0540  17.9753  0.94692E+02  0.10862E+03  0.89041E-01  0.10418E+03  0.10862E+03  0.89041E-01  0.10418E+03
    5.0140   2.0540  18.9749  0.75686E+02  0.85610E+02  0.51141E-01  0.82443E+02  0.85610E+02  0.51141E-01  0.82443E+02
    5.0140   2.0540  19.9261  0.61233E+02  0.68404E+02  0.30405E-01  0.66091E+02  0.68404E+02  0.30405E-01  0.66091E+02
    5.0140   2.0540  20.8356  0.50024E+02  0.55262E+02  0.18529E-01  0.53541E+02  0.55262E+02  0.18529E-01  0.53541E+02
    5.0140   2.0540  21.7087  0.41196E+02  0.45055E+02  0.11578E-01  0.43752E+02  0.45055E+02  0.11578E-01  0.43752E+02
    5.0140   2.0540  22.5496  0.34166E+02  0.37019E+02  0.73813E-02  0.36020E+02  0.37019E+02  0.73813E-02  0.36020E+02
    5.0140   2.0540  23.3617  0.28524E+02  0.30635E+02  0.47895E-02  0.29858E+02  0.30635E+02  0.47895E-02  0.29858E+02
    5.0140   2.0540  24.1480  0.23990E+02  0.25530E+02  0.31460E-02  0.24921E+02  0.25530E+02  0.31460E-02  0.24921E+02
    5.0140   2.0540  24.9110  0.20220E+02  0.21328E+02  0.20884E-02  0.20847E+02  0.21328E+02  0.20884E-02  0.20847E+02
    5.0140   2.0540  25.6526  0.16944E+02  0.17766E+02  0.14007E-02  0.17382E+02  0.17766E+02  0.14007E-02  0.17382E+02
    5.0140   2.0540  26.3748  0.14264E+02  0.14867E+02  0.94884E-03  0.14559E+02  0.14867E+02  0.94884E-03  0.14559E+02
    5.0140   2.0540  27.0791  0.12067E+02  0.12500E+02  0.65066E-03  0.12250E+02  0.12500E+02  0.65066E-03  0.12250E+02
    5.0140   2.0540  27.7669  0.10253E+02  0.10551E+02  0.45138E-03  0.10347E+02  0.10551E+02  0.45138E-03  0.10347E+02
    5.0140   2.0540  28.4393  0.87364E+01  0.89230E+01  0.31669E-03  0.87566E+01  0.89230E+01  0.31669E-03  0.87566E+01
    5.0140   2.0540  29.0975  0.73523E+01  0.74803E+01  0.22381E-03  0.73434E+01  0.74803E+01  0.22381E-03  0.73434E+01
    5.0140   2.0540  29.7423  0.62185E+01  0.63008E+01  0.15792E-03  0.61873E+01  0.63008E+01  0.15792E-03  0.61873E+01
    5.0140   2.0540  30.3747  0.52986E+01  0.53389E+01  0.11176E-03  0.52444E+01  0.53389E+01  0.11176E-03  0.52444E+01
    5.0140   2.0540  30.9954  0.45034E+01  0.45164E+01  0.79775E-04  0.44375E+01  0.45164E+01  0.79775E-04  0.44375E+01
